"","total","expected","hits","Raw p","Holm p","FDR"
"Oxidation of Branched Chain Fatty Acids",4,0.0286,2,0.000271,0.0265,0.0265
"Ketone Body Metabolism",1,0.00715,1,0.00715,0.693,0.14
"Butyrate Metabolism",1,0.00715,1,0.00715,0.693,0.14
"Mitochondrial Electron Transport Chain",1,0.00715,1,0.00715,0.693,0.14
"Phytanic Acid Peroxisomal Oxidation",1,0.00715,1,0.00715,0.693,0.14
"Citric Acid Cycle",2,0.0143,1,0.0143,1,0.233
"Beta Oxidation of Very Long Chain Fatty Acids",3,0.0214,1,0.0213,1,0.298
"Valine, Leucine and Isoleucine Degradation",5,0.0357,1,0.0353,1,0.346
"Carnitine Synthesis",5,0.0357,1,0.0353,1,0.346
"Warburg Effect",5,0.0357,1,0.0353,1,0.346
"Glutamate Metabolism",8,0.0572,1,0.0559,1,0.498
"Arginine and Proline Metabolism",10,0.0715,1,0.0695,1,0.567
