"","total","expected","hits","Raw p","Holm p","FDR"
"Fatty acid Metabolism",2,0.00794,1,0.00793,0.777,0.233
"Steroidogenesis",2,0.00794,1,0.00793,0.777,0.233
"Mitochondrial Beta-Oxidation of Short Chain Saturated Fatty Acids",2,0.00794,1,0.00793,0.777,0.233
"Beta Oxidation of Very Long Chain Fatty Acids",3,0.0119,1,0.0119,1,0.233
"Mitochondrial Beta-Oxidation of Long Chain Saturated Fatty Acids",3,0.0119,1,0.0119,1,0.233
"Oxidation of Branched Chain Fatty Acids",4,0.0159,1,0.0158,1,0.258
"Carnitine Synthesis",5,0.0199,1,0.0197,1,0.276
"Tryptophan Metabolism",6,0.0238,1,0.0236,1,0.29
"Ammonia Recycling",7,0.0278,1,0.0275,1,0.3
"Aspartate Metabolism",8,0.0318,1,0.0314,1,0.308
