"","total","expected","hits","Raw p","Holm p","FDR"
"Ketone Body Metabolism",1,0.00159,1,0.00159,0.156,0.0389
"Butyrate Metabolism",1,0.00159,1,0.00159,0.156,0.0389
"Mitochondrial Electron Transport Chain",1,0.00159,1,0.00159,0.156,0.0389
"Phytanic Acid Peroxisomal Oxidation",1,0.00159,1,0.00159,0.156,0.0389
"Citric Acid Cycle",2,0.00318,1,0.00318,0.299,0.0622
"Mitochondrial Beta-Oxidation of Long Chain Saturated Fatty Acids",3,0.00477,1,0.00476,0.443,0.0777
"Oxidation of Branched Chain Fatty Acids",4,0.00635,1,0.00635,0.584,0.0777
"Valine, Leucine and Isoleucine Degradation",5,0.00794,1,0.00793,0.722,0.0777
"Carnitine Synthesis",5,0.00794,1,0.00793,0.722,0.0777
"Warburg Effect",5,0.00794,1,0.00793,0.722,0.0777
"Glutamate Metabolism",8,0.0127,1,0.0127,1,0.113
"Arginine and Proline Metabolism",10,0.0159,1,0.0158,1,0.129
