"","VARNAME","variable_original","seq_original","label_original","MEMNAME","VISIT_ddf","TARGETVR_ddf","TESTCD_ddf","RELTIVE_ddf","N_ddf","Matched_Full"
"121","IRS_RAN_SUBGROUP","IRS_RAN_SUBGROUP",2,"Randomization arm","ELICIT_METADATA_IMIC_042021",NA,"ARM,ARMCD,EXTRT",NA,"Mother",200,"no"
"76","CHILD_AGE","CHILD_AGE",3,"Age at enrollment","ELICIT_METADATA_IMIC_042021",NA,"AGEDAYS",NA,NA,200,"yes"
"107","IAF_AGE","IAF_AGE",4,"Mother`s age","ELICIT_METADATA_IMIC_042021",NA,"MAGE",NA,NA,200,"yes"
"88","ENTRY_DATE","ENTRY_DATE",5,"Date of initial visit","ELICIT_METADATA_IMIC_042021",NA,"AGEDAYS",NA,NA,200,"yes"
"87","DOB","DOB",6,"Child date of birth","ELICIT_METADATA_IMIC_042021","Enrolment Visit","BRTHYR,BRTHWEEK,AGEDAYS,GFSTRESC","DOB",NA,200,"no"
"91","GENDER","GENDER",7,"Child gender","ELICIT_METADATA_IMIC_042021",NA,"SEXN",NA,NA,200,"yes"
"108","IAF_BORNINHOSP","IAF_BORNINHOSP",8,"Was the child born in the hospital?","ELICIT_METADATA_IMIC_042021",NA,"DLVLOCN",NA,NA,200,"yes"
"111","IAF_LENGTH","IAF_LENGTH",9,"enrollment length (cm)","ELICIT_METADATA_IMIC_042021","Enrolment Visit","LENCM",NA,NA,200,"yes"
"112","IAF_WEIGHT","IAF_WEIGHT",10,"enrollment weight (kg)","ELICIT_METADATA_IMIC_042021","Enrolment Visit","WTKG",NA,NA,200,"yes"
"110","IAF_HEAD_CIRCUM","IAF_HEAD_CIRCUM",11,"enrollment head circumference (cm)","ELICIT_METADATA_IMIC_042021","Enrolment Visit","HCIRCM",NA,NA,200,"yes"
"109","IAF_ELIGIBLE","IAF_ELIGIBLE",12,"Is the child eligible for participation","ELICIT_METADATA_IMIC_042021",NA,NA,NA,NA,200,"missing"
"123","IRS_RAN_SUBGROUP_NIC","IRS_RAN_SUBGROUP_NIC",13,"Nicotinamide Arm","ELICIT_METADATA_IMIC_042021",NA,"ARM,ARMCD,EXTRT",NA,"Child",200,"no"
