"","VARNAME","variable_original","seq_original","label_original","MEMNAME","VISIT_ddf","TARGETVR_ddf","TESTCD_ddf","RELTIVE_ddf","N_ddf","Matched_Full"
"405","GI_CSPS_N","gi_csps_n",2,"Study health center: without label","MISAME3_WIDE",NA,NA,NA,NA,290,"missing"
"404","GI_BLOCK","gi_block",3,"Randomization blocks","MISAME3_WIDE",NA,NA,NA,NA,290,"missing"
"407","GI_TREATMENTL","gi_treatmentl",4,"Prenatal intervention","MISAME3_WIDE",NA,"ARM, ARMCD",NA,NA,290,"yes"
"406","GI_TREATMENT2","gi_treatment2",5,"Postnatal intervention","MISAME3_WIDE",NA,"ARM, ARMCD",NA,NA,290,"yes"
"1351","SECTION_01","SECTION_01",6,"SECTION_01","MISAME3_WIDE",NA,NA,NA,NA,290,"missing"
"443","INCL_DATE_BASELINE","incl_date_baseline",7,"Date of baseline interview","MISAME3_WIDE",NA,NA,NA,NA,290,"missing"
"444","INCL_DATE_INCLUSION","incl_date_inclusion",8,"Date of study inclusion","MISAME3_WIDE","Baseline / Enrolment","AGEDAYS",NA,NA,290,"yes"
"554","INCL_HHSIZE","incl_hhsize",9,"Household size","MISAME3_WIDE","Baseline / Enrolment","SSSTRESN","NPERSON",NA,289,"yes"
"474","INCL_HHCHILD5","incl_hhchild5",10,"Number of under five children in HH","MISAME3_WIDE","Baseline / Enrolment","SSSTRESN","NCHLDLT5",NA,289,"yes"
"517","INCL_HHNET","incl_hhnet",11,"Sleeping under bednet","MISAME3_WIDE","Baseline / Enrolment","SSSTRESC, SSSTRESN","BEDNET",NA,290,"yes"
"519","INCL_HHNET_IMPR","incl_hhnet_impr",12,"Impregnated bednet","MISAME3_WIDE","Baseline / Enrolment","SSSTRESC, SSSTRESN","BEDNET",NA,290,"yes"
"518","INCL_HHNET_FREQ","incl_hhnet_freq",13,"Frequency bednet use","MISAME3_WIDE",NA,NA,NA,NA,290,"missing"
"522","INCL_HHNET_REASON","incl_hhnet_reason",14,"Reasons for not having a bednet","MISAME3_WIDE",NA,NA,NA,NA,290,"missing"
"571","INCL_HHWATER","incl_hhwater",15,"Water source","MISAME3_WIDE","Baseline / Enrolment","SSSTRESC","H2OSRC",NA,290,"yes"
"575","INCL_HHWATER_TAP","incl_hhwater_tap",16,"Type of tap for water","MISAME3_WIDE","Baseline / Enrolment","SSSTRESC","H2OSRC",NA,290,"yes"
"573","INCL_HHWATER_PIT","incl_hhwater_pit",17,"Type of water pit","MISAME3_WIDE","Baseline / Enrolment","SSSTRESC","H2OSRC",NA,290,"yes"
"574","INCL_HHWATER_SOURCE","incl_hhwater_source",18,"Type of water source","MISAME3_WIDE",NA,NA,NA,NA,0,"missing"
"572","INCL_HHWATER_OTHER","incl_hhwater_other",19,"Other source of water","MISAME3_WIDE",NA,NA,NA,NA,0,"missing"
"509","INCL_HHL_WATER","incl_hhl_water",20,"Location principal water source","MISAME3_WIDE","Baseline / Enrolment","SSSTRESC","H2OLOC",NA,290,"yes"
"558","INCL_HHT_WATER","incl_hht_water",21,"Time to water source","MISAME3_WIDE","Baseline / Enrolment","SSSTRESN","H2ODIS",NA,290,"yes"
"489","INCL_HHH1_WATER","incl_hhh1_water",22,"Water treatment","MISAME3_WIDE","Baseline / Enrolment","SSSTRESC","H2OUNTRT",NA,290,"yes"
"490","INCL_HHH2_WATER__1","incl_hhh2_water__1",23,"Water treatment options: boiling","MISAME3_WIDE","Baseline / Enrolment","SSSTRESC","H2OTRTP",NA,290,"yes"
"491","INCL_HHH2_WATER__2","incl_hhh2_water__2",24,"Water treatment options: add bleach / chlorine","MISAME3_WIDE","Baseline / Enrolment","SSSTRESC","H2OTRTP",NA,290,"yes"
"492","INCL_HHH2_WATER__3","incl_hhh2_water__3",25,"Water treatment options: sprinkle cement on the surface of the water","MISAME3_WIDE","Baseline / Enrolment","SSSTRESC","H2OTRTP",NA,290,"yes"
"493","INCL_HHH2_WATER__4","incl_hhh2_water__4",26,"Water treatment options: filter it through a cloth","MISAME3_WIDE","Baseline / Enrolment","SSSTRESC","H2OTRTP",NA,290,"yes"
"494","INCL_HHH2_WATER__5","incl_hhh2_water__5",27,"Water treatment options: use a filter (ceramic / sand / composite / etc.)","MISAME3_WIDE","Baseline / Enrolment","SSSTRESC","H2OTRTP",NA,290,"yes"
"495","INCL_HHH2_WATER__6","incl_hhh2_water__6",28,"Water treatment options: solar disinfection","MISAME3_WIDE","Baseline / Enrolment","SSSTRESC","H2OTRTP",NA,290,"yes"
"496","INCL_HHH2_WATER__7","incl_hhh2_water__7",29,"Water treatment options: let it rest","MISAME3_WIDE","Baseline / Enrolment","SSSTRESC","H2OTRTP",NA,290,"yes"
"497","INCL_HHH2_WATER__88","incl_hhh2_water__88",30,"Water treatment options: other","MISAME3_WIDE","Baseline / Enrolment","SSSTRESC","H2OTRTP",NA,290,"yes"
"498","INCL_HHH2_WATER__99","incl_hhh2_water__99",31,"Water treatment options: don't know","MISAME3_WIDE","Baseline / Enrolment","SSSTRESC","H2OTRTP",NA,290,"yes"
"499","INCL_HHH2_WATER_OTHER","incl_hhh2_water_other",32,"Other water treatment options","MISAME3_WIDE",NA,NA,NA,NA,0,"missing"
"560","INCL_HHTOILET","incl_hhtoilet",33,"Toilet","MISAME3_WIDE","Baseline / Enrolment","SSSTRESC","SANITATN",NA,290,"yes"
"563","INCL_HHTOILET_OTHER","incl_hhtoilet_other",34,"Other toilet options","MISAME3_WIDE",NA,NA,NA,NA,0,"missing"
"561","INCL_HHTOILET_CHASSE","incl_hhtoilet_chasse",35,"Options flush","MISAME3_WIDE",NA,NA,NA,NA,0,"missing"
"562","INCL_HHTOILET_FOSSE","incl_hhtoilet_fosse",36,"Options pit","MISAME3_WIDE","Baseline / Enrolment","SSSTRESC","SANITATN",NA,290,"yes"
"545","INCL_HHS_TOILET","incl_hhs_toilet",37,"Sharing toilets with other HH","MISAME3_WIDE","Baseline / Enrolment","SSSTRESC","SANITATN",NA,290,"yes"
"524","INCL_HHNR_TOILET","incl_hhnr_toilet",38,"nr of HH using these toilets","MISAME3_WIDE","Baseline / Enrolment","SSSTRESN","NPERLAT",NA,151,"yes"
"502","INCL_HHHYG_WATER","incl_hhhyg_water",39,"Observation: water present at washing station","MISAME3_WIDE","Baseline / Enrolment","SSSTRESC","H2OWSHST",NA,290,"yes"
"501","INCL_HHHYG_SOAP","incl_hhhyg_soap",40,"Observation: Soap present at washing station","MISAME3_WIDE","Baseline / Enrolment","SSSTRESC","SOPWSHST",NA,290,"yes"
"479","INCL_HHDISPO","incl_hhdispo",41,"Head of household present?","MISAME3_WIDE",NA,NA,NA,NA,289,"missing"
"520","INCL_HHNET_LF","incl_hhnet_lf",42,"Frequency low bednet use","MISAME3_WIDE",NA,NA,NA,NA,0,"missing"
"521","INCL_HHNET_LF_OTHER","incl_hhnet_lf_other",43,"Other reason","MISAME3_WIDE",NA,NA,NA,NA,0,"missing"
"547","INCL_HHSCHOOL_LEVEL","incl_hhschool_level",44,"School level HH","MISAME3_WIDE",NA,NA,NA,NA,290,"missing"
"525","INCL_HHOCCUPATION1","incl_hhoccupation1",45,"1st occupation HH","MISAME3_WIDE",NA,NA,NA,NA,290,"missing"
"526","INCL_HHOCCUPATION2","incl_hhoccupation2",46,"2nd occupation HH","MISAME3_WIDE",NA,NA,NA,NA,290,"missing"
"527","INCL_HHOCCUPATION3","incl_hhoccupation3",47,"3rd occupation HH","MISAME3_WIDE",NA,NA,NA,NA,290,"missing"
"523","INCL_HHNR_OCCUPATION","incl_hhnr_occupation",48,"nr of jobs HH","MISAME3_WIDE",NA,NA,NA,NA,290,"missing"
"556","INCL_HHSTATUT","incl_hhstatut",49,"Marital status HH","MISAME3_WIDE",NA,NA,NA,NA,290,"missing"
"536","INCL_HHPREGNANTWOMAN","incl_hhpregnantwoman",50,"Pregnant woman is head of household","MISAME3_WIDE",NA,NA,NA,NA,290,"missing"
"451","INCL_HHAGE","incl_hhage",51,"Age of head of HH","MISAME3_WIDE",NA,NA,NA,NA,200,"missing"
"546","INCL_HHSCHOOL","incl_hhschool",52,"Education head of household","MISAME3_WIDE",NA,NA,NA,NA,289,"missing"
"548","INCL_HHSCHOOLOTHER","incl_hhschoolother",53,"other schooling head HH","MISAME3_WIDE",NA,NA,NA,NA,19,"missing"
"445","INCL_HHACT1","incl_hhact1",54,"Primary activity of HH head","MISAME3_WIDE",NA,NA,NA,NA,290,"missing"
"446","INCL_HHACT1OTHER","incl_hhact1other",55,"Primary activity of HH headother","MISAME3_WIDE",NA,NA,NA,NA,18,"missing"
"447","INCL_HHACT2","incl_hhact2",56,"Secondary activity of HH head","MISAME3_WIDE",NA,NA,NA,NA,290,"missing"
"448","INCL_HHACT2OTHER","incl_hhact2other",57,"Secondary activity of HH headother","MISAME3_WIDE",NA,NA,NA,NA,43,"missing"
"449","INCL_HHACT3","incl_hhact3",58,"Tertiary activity of HH head","MISAME3_WIDE",NA,NA,NA,NA,239,"missing"
"450","INCL_HHACT3OTHER","incl_hhact3other",59,"Tertiary activity of HH headother","MISAME3_WIDE",NA,NA,NA,NA,9,"missing"
"452","INCL_HHAGRI","incl_hhagri",60,"Head of agricultural exploitation","MISAME3_WIDE",NA,NA,NA,NA,290,"missing"
"504","INCL_HHIMPR_WATER","incl_hhimpr_water",61,"Improved primary water source","MISAME3_WIDE",NA,NA,NA,NA,290,"missing"
"503","INCL_HHIMPR_SANITATION","incl_hhimpr_sanitation",62,"Improved sanitation facility","MISAME3_WIDE",NA,NA,NA,NA,290,"missing"
"532","INCL_HHPOLYGAMOUS","incl_hhpolygamous",63,"Houshold is a polygamous family","MISAME3_WIDE",NA,NA,NA,NA,109,"missing"
"475","INCL_HHCOMP","incl_hhcomp",64,"nr of (co-)wives HH","MISAME3_WIDE",NA,NA,NA,NA,170,"missing"
"485","INCL_HHFLOOR","incl_hhfloor",65,"Floor material house","MISAME3_WIDE","Baseline / Enrolment","SSSTRESC","FLOOR",NA,290,"yes"
"486","INCL_HHFLOOROTHER","incl_hhfloorother",66,"Floor material HH other","MISAME3_WIDE","Baseline / Enrolment","SSSTRESC","FLOOR",NA,0,"missing"
