,VarName,VARLABEL,VarCategory,AnalysisMethod,QUANTIFICATION,UNIT,DERIVATION,ProgrammingNotes,VARDESCRIPTION,VarSubCategory,AdditionalNotes,SecondName,DatabaseID,LOD,VarType
1:01,Ribo,riboflavin,B vitamins,UPLC-MS/MS; USDA ARS-WHNRC,"Targeted, Absolute",ug/L,No,NA,Micronutrient; Water soluble vitamin,B2,Also see 'Notes on nutrient data - Version2_July212022.pdf',NA,NA,NA,numeric
1:02,FMN,flavin mononucleotide,B vitamins,UPLC-MS/MS; USDA ARS-WHNRC,"Targeted, Absolute",ug/L,No,NA,Micronutrient; Water soluble vitamin,B2,Also see 'Notes on nutrient data - Version2_July212022.pdf',NA,NA,NA,numeric
1:03,FAD,flavin adenine dinucleotide,B vitamins,UPLC-MS/MS; USDA ARS-WHNRC,"Targeted, Absolute",ug/L,No,NA,Micronutrient; Water soluble vitamin,B2,Also see 'Notes on nutrient data - Version2_July212022.pdf',NA,NA,NA,numeric
1:04,B2,vitamin B2 (expressed as riboflavin),B vitamins,UPLC-MS/MS; USDA ARS-WHNRC,"Targeted, Absolute",ug/L,Yes,"Ribo, FMN, FAD; Ribo + (FMN * 376.36[Ribo MW]/456.34[FMN MW]) + (FAD * 376.36[Ribo MW]/785.55[FMN MW])",Micronutrient; Water soluble vitamin,B2,Also see 'Notes on nutrient data - Version2_July212022.pdf',NA,NA,NA,numeric
1:05,NAM,nicotinamide,B vitamins,UPLC-MS/MS; USDA ARS-WHNRC,"Targeted, Absolute",ug/L,No,NA,Micronutrient; Water soluble vitamin,B3,Also see 'Notes on nutrient data - Version2_July212022.pdf',NA,NA,NA,numeric
1:06,NAD,nicotinamide adenine dinucleotide,B vitamins,UPLC-MS/MS; USDA ARS-WHNRC,"Targeted, Absolute",ug/L,No,NA,Micronutrient; Water soluble vitamin,B3,Also see 'Notes on nutrient data - Version2_July212022.pdf',NA,NA,NA,numeric
1:07,NMN,nicotinamide mononucleotide,B vitamins,UPLC-MS/MS; USDA ARS-WHNRC,"Targeted, Absolute",ug/L,No,NA,Micronutrient; Water soluble vitamin,B3,Also see 'Notes on nutrient data - Version2_July212022.pdf',NA,NA,NA,numeric
1:08,NR,nicotinamide riboside,B vitamins,UPLC-MS/MS; USDA ARS-WHNRC,"Targeted, Absolute",ug/L,No,NA,Micronutrient; Water soluble vitamin,B3,Also see 'Notes on nutrient data - Version2_July212022.pdf',NA,NA,NA,numeric
1:09,B3,vitamin B3 ( expressed as NAM),B vitamins,UPLC-MS/MS; USDA ARS-WHNRC,"Targeted, Absolute",ug/L,Yes,"NAM, NAD, NMN, NR; NAM + (NAD * 122.12[NAM MW]/663.43[NAD MW]) + (NMN * 122.12[NAM MW]/334.22[NMN MW]) + (NR * 122.12[NAM MW]/255.25[NR NW])",Micronutrient; Water soluble vitamin,B3,Also see 'Notes on nutrient data - Version2_July212022.pdf',NA,NA,NA,numeric
1:10,Nufa,nudifloramide (niacin catabolite),B vitamins,UPLC-MS/MS; USDA ARS-WHNRC,"Targeted, Absolute",ug/L,No,NA,Micronutrient; Water soluble vitamin,B3 (catabolite),Also see 'Notes on nutrient data - Version2_July212022.pdf',NA,NA,NA,numeric
1:11,PA,pantothenic acid,B vitamins,UPLC-MS/MS; USDA ARS-WHNRC,"Targeted, Absolute",ug/L,No,NA,Micronutrient; Water soluble vitamin,B5,Also see 'Notes on nutrient data - Version2_July212022.pdf',NA,NA,NA,numeric
1:12,PL,pyridoxal,B vitamins,UPLC-MS/MS; USDA ARS-WHNRC,"Targeted, Absolute",ug/L,No,NA,Micronutrient; Water soluble vitamin,B6,Also see 'Notes on nutrient data - Version2_July212022.pdf',NA,NA,NA,numeric
1:13,PM,pyridoxamine,B vitamins,UPLC-MS/MS; USDA ARS-WHNRC,"Targeted, Absolute",ug/L,No,NA,Micronutrient; Water soluble vitamin,B6,Also see 'Notes on nutrient data - Version2_July212022.pdf',NA,NA,NA,numeric
1:14,PN,pyridoxine,B vitamins,UPLC-MS/MS; USDA ARS-WHNRC,"Targeted, Absolute",ug/L,No,NA,Micronutrient; Water soluble vitamin,B6,Also see 'Notes on nutrient data - Version2_July212022.pdf',NA,NA,NA,numeric
1:15,PLP,pyridoxal 5-phosphate,B vitamins,UPLC-MS/MS; USDA ARS-WHNRC,"Targeted, Absolute",ug/L,No,NA,Micronutrient; Water soluble vitamin,B6,Also see 'Notes on nutrient data - Version2_July212022.pdf',NA,NA,NA,numeric
1:16,B6,vitamin B6 (expressed as PL),B vitamins,UPLC-MS/MS; USDA ARS-WHNRC,"Targeted, Absolute",ug/L,Yes,"PL, PM, PN, PLP; PL + (PM * 167.16[PL MW]/168.19[PM MW]) + (PN * 167.16[PL MW]/169.18[PN MW]) + (PLP * 167.16[PL MW]/247.14[PLP MW])",Micronutrient; Water soluble vitamin,B6,Also see 'Notes on nutrient data - Version2_July212022.pdf',NA,NA,NA,numeric
1:17,Bio,biotin,B vitamins,UPLC-MS/MS; USDA ARS-WHNRC,"Targeted, Absolute",ug/L,No,NA,Micronutrient; Water soluble vitamin,B7,Also see 'Notes on nutrient data - Version2_July212022.pdf',NA,NA,NA,numeric
1:18,TRP,tryptophan,B vitamins,UPLC-MS/MS; USDA ARS-WHNRC,"Targeted, Absolute",ug/L,No,NA,Micronutrient; Water soluble vitamin,B3 (precursor),Also see 'Notes on nutrient data - Version2_July212022.pdf',NA,NA,NA,numeric
1:19,TPP,thiamine pyrophosphate,B vitamins,HPLC-FLD; USDA ARS-WHNRC,"Targeted, Absolute",ug/L,No,NA,Micronutrient; Water soluble vitamin,B1,Also see 'Notes on nutrient data - Version2_July212022.pdf',NA,NA,NA,numeric
1:20,TMP,thiamine monophosphate,B vitamins,HPLC-FLD; USDA ARS-WHNRC,"Targeted, Absolute",ug/L,No,NA,Micronutrient; Water soluble vitamin,B1,Also see 'Notes on nutrient data - Version2_July212022.pdf',NA,NA,NA,numeric
1:21,T,free thiamin,B vitamins,HPLC-FLD; USDA ARS-WHNRC,"Targeted, Absolute",ug/L,No,NA,Micronutrient; Water soluble vitamin,B1,Also see 'Notes on nutrient data - Version2_July212022.pdf',NA,NA,NA,numeric
1:22,B1,total vitamin B1 (expressed as thiamin),B vitamins,HPLC-FLD; USDA ARS-WHNRC,"Targeted, Absolute",ug/L,Yes,"Calculated from T, TMP and TPP (and expressed as T)",Micronutrient; Water soluble vitamin,B1,Also see 'Notes on nutrient data - Version2_July212022.pdf',NA,NA,NA,numeric
1:23,B12,vitamin B12 (expressed as cyanocobalamin),B vitamins,Competitive protein binding assay; USDA ARS-WHNRC,"Targeted, Absolute",pmol/L,No,NA,Micronutrient; Water soluble vitamin,B12,Also see 'Notes on nutrient data - Version2_July212022.pdf',NA,NA,NA,numeric
2:01,X1.Met.His,1-Methylhistidine,Targeted Metabolomics,"LC-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Small Molecules,Amino Acid Related,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',1-Met-His,HMDB0000001; CAS-332-80-9,0.00514; 0.0081804; 0.01,numeric
2:02,X3.IAA,Indoleacetic acid,Targeted Metabolomics,"LC-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Small Molecules,Indoles and Derivatives,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',3-IAA,HMDB0000197; CAS-87-51-4,0.06; 0.06; 0.06,numeric
2:03,X3.IPA,Indolepropionic acid,Targeted Metabolomics,"LC-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Small Molecules,Indoles and Derivatives,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',3-IPA,HMDB0002302; CAS-830-96-6,0.03; 0.0040936; 0.03,numeric
2:04,X3.Met.His,3-Methylhistidine,Targeted Metabolomics,"LC-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Small Molecules,Amino Acid Related,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',3-Met-His,HMDB0000479; CAS-368-16-1,0.01; 0.01; 0.01,numeric
2:05,X5.AVA,5-Aminovaleric acid,Targeted Metabolomics,"LC-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Small Molecules,Amino Acid Related,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',5-AVA,HMDB0003355; CAS-660-88-8,0.02095; 0.04; 0.04,numeric
