,VarName,VARLABEL,VarCategory,AnalysisMethod,QUANTIFICATION,UNIT,DERIVATION,ProgrammingNotes,VARDESCRIPTION,VarSubCategory,AdditionalNotes,SecondName,DatabaseID,LOD,VarType
1:01,Ribo,riboflavin,B vitamins,UPLC-MS/MS; USDA ARS-WHNRC,"Targeted, Absolute",ug/L,No,NA,Micronutrient; Water soluble vitamin,B2,Also see 'Notes on nutrient data - Version2_July212022.pdf',NA,NA,NA,numeric
1:02,FMN,flavin mononucleotide,B vitamins,UPLC-MS/MS; USDA ARS-WHNRC,"Targeted, Absolute",ug/L,No,NA,Micronutrient; Water soluble vitamin,B2,Also see 'Notes on nutrient data - Version2_July212022.pdf',NA,NA,NA,numeric
1:03,FAD,flavin adenine dinucleotide,B vitamins,UPLC-MS/MS; USDA ARS-WHNRC,"Targeted, Absolute",ug/L,No,NA,Micronutrient; Water soluble vitamin,B2,Also see 'Notes on nutrient data - Version2_July212022.pdf',NA,NA,NA,numeric
1:04,B2,vitamin B2 (expressed as riboflavin),B vitamins,UPLC-MS/MS; USDA ARS-WHNRC,"Targeted, Absolute",ug/L,Yes,"Ribo, FMN, FAD; Ribo + (FMN * 376.36[Ribo MW]/456.34[FMN MW]) + (FAD * 376.36[Ribo MW]/785.55[FMN MW])",Micronutrient; Water soluble vitamin,B2,Also see 'Notes on nutrient data - Version2_July212022.pdf',NA,NA,NA,numeric
1:05,NAM,nicotinamide,B vitamins,UPLC-MS/MS; USDA ARS-WHNRC,"Targeted, Absolute",ug/L,No,NA,Micronutrient; Water soluble vitamin,B3,Also see 'Notes on nutrient data - Version2_July212022.pdf',NA,NA,NA,numeric
1:06,NAD,nicotinamide adenine dinucleotide,B vitamins,UPLC-MS/MS; USDA ARS-WHNRC,"Targeted, Absolute",ug/L,No,NA,Micronutrient; Water soluble vitamin,B3,Also see 'Notes on nutrient data - Version2_July212022.pdf',NA,NA,NA,numeric
1:07,NMN,nicotinamide mononucleotide,B vitamins,UPLC-MS/MS; USDA ARS-WHNRC,"Targeted, Absolute",ug/L,No,NA,Micronutrient; Water soluble vitamin,B3,Also see 'Notes on nutrient data - Version2_July212022.pdf',NA,NA,NA,numeric
1:08,NR,nicotinamide riboside,B vitamins,UPLC-MS/MS; USDA ARS-WHNRC,"Targeted, Absolute",ug/L,No,NA,Micronutrient; Water soluble vitamin,B3,Also see 'Notes on nutrient data - Version2_July212022.pdf',NA,NA,NA,numeric
1:09,B3,vitamin B3 ( expressed as NAM),B vitamins,UPLC-MS/MS; USDA ARS-WHNRC,"Targeted, Absolute",ug/L,Yes,"NAM, NAD, NMN, NR; NAM + (NAD * 122.12[NAM MW]/663.43[NAD MW]) + (NMN * 122.12[NAM MW]/334.22[NMN MW]) + (NR * 122.12[NAM MW]/255.25[NR NW])",Micronutrient; Water soluble vitamin,B3,Also see 'Notes on nutrient data - Version2_July212022.pdf',NA,NA,NA,numeric
1:10,Nufa,nudifloramide (niacin catabolite),B vitamins,UPLC-MS/MS; USDA ARS-WHNRC,"Targeted, Absolute",ug/L,No,NA,Micronutrient; Water soluble vitamin,B3 (catabolite),Also see 'Notes on nutrient data - Version2_July212022.pdf',NA,NA,NA,numeric
1:11,PA,pantothenic acid,B vitamins,UPLC-MS/MS; USDA ARS-WHNRC,"Targeted, Absolute",ug/L,No,NA,Micronutrient; Water soluble vitamin,B5,Also see 'Notes on nutrient data - Version2_July212022.pdf',NA,NA,NA,numeric
1:12,PL,pyridoxal,B vitamins,UPLC-MS/MS; USDA ARS-WHNRC,"Targeted, Absolute",ug/L,No,NA,Micronutrient; Water soluble vitamin,B6,Also see 'Notes on nutrient data - Version2_July212022.pdf',NA,NA,NA,numeric
1:13,PM,pyridoxamine,B vitamins,UPLC-MS/MS; USDA ARS-WHNRC,"Targeted, Absolute",ug/L,No,NA,Micronutrient; Water soluble vitamin,B6,Also see 'Notes on nutrient data - Version2_July212022.pdf',NA,NA,NA,numeric
1:14,PN,pyridoxine,B vitamins,UPLC-MS/MS; USDA ARS-WHNRC,"Targeted, Absolute",ug/L,No,NA,Micronutrient; Water soluble vitamin,B6,Also see 'Notes on nutrient data - Version2_July212022.pdf',NA,NA,NA,numeric
1:15,PLP,pyridoxal 5-phosphate,B vitamins,UPLC-MS/MS; USDA ARS-WHNRC,"Targeted, Absolute",ug/L,No,NA,Micronutrient; Water soluble vitamin,B6,Also see 'Notes on nutrient data - Version2_July212022.pdf',NA,NA,NA,numeric
1:16,B6,vitamin B6 (expressed as PL),B vitamins,UPLC-MS/MS; USDA ARS-WHNRC,"Targeted, Absolute",ug/L,Yes,"PL, PM, PN, PLP; PL + (PM * 167.16[PL MW]/168.19[PM MW]) + (PN * 167.16[PL MW]/169.18[PN MW]) + (PLP * 167.16[PL MW]/247.14[PLP MW])",Micronutrient; Water soluble vitamin,B6,Also see 'Notes on nutrient data - Version2_July212022.pdf',NA,NA,NA,numeric
1:17,Bio,biotin,B vitamins,UPLC-MS/MS; USDA ARS-WHNRC,"Targeted, Absolute",ug/L,No,NA,Micronutrient; Water soluble vitamin,B7,Also see 'Notes on nutrient data - Version2_July212022.pdf',NA,NA,NA,numeric
1:18,TRP,tryptophan,B vitamins,UPLC-MS/MS; USDA ARS-WHNRC,"Targeted, Absolute",ug/L,No,NA,Micronutrient; Water soluble vitamin,B3 (precursor),Also see 'Notes on nutrient data - Version2_July212022.pdf',NA,NA,NA,numeric
1:19,TPP,thiamine pyrophosphate,B vitamins,HPLC-FLD; USDA ARS-WHNRC,"Targeted, Absolute",ug/L,No,NA,Micronutrient; Water soluble vitamin,B1,Also see 'Notes on nutrient data - Version2_July212022.pdf',NA,NA,NA,numeric
1:20,TMP,thiamine monophosphate,B vitamins,HPLC-FLD; USDA ARS-WHNRC,"Targeted, Absolute",ug/L,No,NA,Micronutrient; Water soluble vitamin,B1,Also see 'Notes on nutrient data - Version2_July212022.pdf',NA,NA,NA,numeric
1:21,T,free thiamin,B vitamins,HPLC-FLD; USDA ARS-WHNRC,"Targeted, Absolute",ug/L,No,NA,Micronutrient; Water soluble vitamin,B1,Also see 'Notes on nutrient data - Version2_July212022.pdf',NA,NA,NA,numeric
1:22,B1,total vitamin B1 (expressed as thiamin),B vitamins,HPLC-FLD; USDA ARS-WHNRC,"Targeted, Absolute",ug/L,Yes,"Calculated from T, TMP and TPP (and expressed as T)",Micronutrient; Water soluble vitamin,B1,Also see 'Notes on nutrient data - Version2_July212022.pdf',NA,NA,NA,numeric
1:23,B12,vitamin B12 (expressed as cyanocobalamin),B vitamins,Competitive protein binding assay; USDA ARS-WHNRC,"Targeted, Absolute",pmol/L,No,NA,Micronutrient; Water soluble vitamin,B12,Also see 'Notes on nutrient data - Version2_July212022.pdf',NA,NA,NA,numeric
