"","Interval","L","M","S","Delta","-3 SD","-2 SD","-1 SD","Median","1 SD","2 SD","3 SD","sex","agerange","interval1","interval2"
"1","0-4wks",0.7781,1279.4834,0.21479,400,123,358,611,879,1161,1453,1757,"Female",1,1,27.99999889323
"2","4wks-2mo",0.7781,1411.1075,0.19384,400,251,490,744,1011,1290,1580,1880,"Female",1,27.99999889323,60.8334
"3","2-3mo",0.7781,1118.0098,0.19766,400,105,297,502,718,944,1178,1421,"Female",1,60.8334,91.2501
"4","3-4mo",0.7781,984.8825,0.20995,400,14,192,383,585,796,1016,1244,"Female",1,91.2501,121.6668
"5","4-5mo",0.7781,888.9803,0.22671,400,-62,108,293,489,695,911,1134,"Female",1,121.6668,152.0835
"6","5-6mo",0.7781,801.391,0.24596,400,-132,31,210,401,604,815,1036,"Female",1,152.0835,182.5002
"7","6-7mo",0.7781,744.3023,0.26515,400,-185,-24,153,344,547,760,982,"Female",1,182.5002,212.9169
"8","7-8mo",0.7781,710.6923,0.28409,400,-224,-64,116,311,519,738,967,"Female",1,212.9169,243.3336
"9","8-9mo",0.7781,672.6072,0.30106,400,-259,-101,77,273,482,702,933,"Female",1,243.3336,273.7503
"10","9-10mo",0.7781,644.6032,0.31676,400,-286,-131,48,245,456,679,913,"Female",1,273.7503,304.167
"11","10-11mo",0.7781,633.2166,0.33208,400,-307,-151,31,233,451,682,924,"Female",1,304.167,334.5837
"12","11-12mo",0.7781,631.7383,0.34627,400,-324,-166,22,232,458,699,953,"Female",1,334.5837,365.0004
"13","0-2mo",0.4599,2497.0406,0.18,600,742,1085,1469,1897,2368,2884,3445,"Female",2,1,60.8334
"14","1-3mo",0.3294,2314.2285,0.17612,600,695,991,1330,1714,2146,2630,3167,"Female",2,30.4167,91.2501
"15","2-4mo",0.3128,1907.0116,0.17761,600,465,709,989,1307,1667,2071,2522,"Female",2,60.8334,121.6668
"16","3-5mo",0.356,1673.5778,0.18421,600,304,528,783,1074,1400,1766,2172,"Female",2,91.2501,152.0835
"17","4-6mo",0.4264,1482.7466,0.19524,600,156,367,609,883,1189,1528,1901,"Female",2,121.6668,182.5002
"18","5-7mo",0.5002,1342.3734,0.20864,600,34,241,477,742,1037,1361,1714,"Female",2,152.0835,212.9169
"19","6-8mo",0.5699,1251.4869,0.22315,600,-61,148,386,651,944,1263,1607,"Female",2,182.5002,243.3336
"20","7-9mo",0.6268,1181.4135,0.23586,600,-136,75,315,581,872,1186,1522,"Female",2,212.9169,273.7503
"21","8-10mo",0.673,1116.8192,0.2468,600,-199,13,253,517,803,1110,1437,"Female",2,243.3336,304.167
"22","9-11mo",0.7102,1078.3961,0.25656,600,-246,-30,212,478,765,1070,1393,"Female",2,273.7503,334.5837
"23","10-12mo",0.7382,1058.4112,0.26494,600,-280,-60,188,458,748,1055,1378,"Female",2,304.167,365.0004
"24","11-13mo",0.7605,1040.8737,0.27292,600,-311,-86,167,441,734,1043,1367,"Female",2,334.5837,395.4171
"25","12-14mo",0.7762,1027.9459,0.28011,600,-336,-107,150,428,724,1037,1363,"Female",2,365.0004,425.8338
"26","13-15mo",0.7864,1019.687,0.28705,600,-358,-125,137,420,721,1038,1368,"Female",2,395.4171,456.2505
"27","14-16mo",0.7913,1016.4898,0.29343,600,-375,-138,128,416,723,1046,1383,"Female",2,425.8338,486.6672
"28","15-17mo",0.7922,1017.5335,0.29961,600,-389,-149,123,418,731,1062,1406,"Female",2,456.2505,517.0839
"29","16-18mo",0.7902,1017.2241,0.30592,600,-402,-159,117,417,738,1076,1428,"Female",2,486.6672,547.5006
"30","17-19mo",0.7866,1012.8511,0.31201,600,-414,-171,108,413,739,1083,1443,"Female",2,517.0839,577.9173
"31","18-20mo",0.7827,1007.2711,0.31824,600,-426,-183,99,407,738,1088,1455,"Female",2,547.5006,608.334
"32","19-21mo",0.7795,1001.8324,0.32415,600,-438,-194,89,402,738,1093,1466,"Female",2,577.9173,638.7507
"33","20-22mo",0.7771,993.3265,0.33014,600,-450,-207,78,393,733,1093,1471,"Female",2,608.334,669.1674
"34","21-23mo",0.7755,980.7096,0.33605,600,-462,-221,64,381,722,1085,1466,"Female",2,638.7507,699.5841
"35","22-24mo",0.7743,967.2057,0.34166,600,-474,-234,50,367,710,1074,1457,"Female",2,669.1674,730.0008
"36","0-3mo",0.2298,3403.924,0.16227,800,1231,1629,2085,2604,3192,3855,4600,"Female",3,1,91.2501
"37","1-4mo",0.0924,3054.3512,0.15958,800,1072,1409,1801,2254,2779,3383,4079,"Female",3,30.4167,121.6668
"38","2-5mo",0.0599,2618.644,0.16338,800,792,1083,1422,1819,2281,2819,3445,"Female",3,60.8334,152.0835
"39","3-6mo",0.13,2277.5681,0.1699,800,544,809,1118,1478,1894,2376,2931,"Female",3,91.2501,182.5002
"40","4-7mo",0.2404,2030.2917,0.1796,800,340,594,890,1230,1621,2065,2570,"Female",3,121.6668,212.9169
"41","5-8mo",0.358,1855.0162,0.19157,800,175,429,721,1055,1433,1856,2328,"Female",3,152.0835,243.3336
"42","6-9mo",0.4576,1724.5802,0.20334,800,43,300,593,925,1295,1704,2153,"Female",3,182.5002,273.7503
"43","7-10mo",0.5317,1624.4588,0.2135,800,-58,201,495,824,1189,1587,2019,"Female",3,212.9169,304.167
"44","8-11mo",0.5891,1552.7117,0.22168,800,-132,129,424,753,1112,1502,1921,"Female",3,243.3336,334.5837
"45","9-12mo",0.6373,1506.412,0.22796,800,-186,79,378,706,1064,1448,1857,"Female",3,273.7503,365.0004
"46","10-13mo",0.6806,1476.5227,0.23285,800,-228,43,346,677,1033,1413,1815,"Female",3,304.167,395.4171
"47","11-14mo",0.7211,1455.9527,0.23682,800,-262,16,323,656,1012,1388,1784,"Female",3,334.5837,425.8338
"48","12-15mo",0.7527,1442.0871,0.2404,800,-290,-6,306,642,999,1374,1766,"Female",3,365.0004,456.2505
"49","13-16mo",0.7679,1434.2381,0.24403,800,-311,-22,295,634,994,1371,1764,"Female",3,395.4171,486.6672
"50","14-17mo",0.7642,1431.1099,0.24794,800,-323,-33,287,631,996,1379,1779,"Female",3,425.8338,517.0839
"51","15-18mo",0.7482,1429.1551,0.25198,800,-331,-41,281,629,1000,1392,1802,"Female",3,456.2505,547.5006
"52","16-19mo",0.7267,1425.3256,0.25598,800,-337,-49,274,625,1002,1403,1824,"Female",3,486.6672,577.9173
"53","17-20mo",0.7032,1418.4764,0.25989,800,-342,-57,265,618,1001,1409,1841,"Female",3,517.0839,608.334
"54","18-21mo",0.6782,1409.2288,0.26384,800,-347,-67,254,609,996,1412,1856,"Female",3,547.5006,638.7507
"55","19-22mo",0.6522,1398.1693,0.26792,800,-352,-77,242,598,990,1414,1868,"Female",3,577.9173,669.1674
"56","20-23mo",0.6262,1385.3711,0.27191,800,-358,-87,228,585,981,1412,1878,"Female",3,608.334,699.5841
"57","21-24mo",0.6013,1370.5464,0.27539,800,-363,-98,214,571,968,1406,1880,"Female",3,638.7507,730.0008
"58","0-4mo",0.0891,4009.5248,0.15636,800,1683,2120,2625,3210,3883,4658,5548,"Female",4,1,121.6668
"59","1-5mo",-0.0491,3541.1498,0.16054,800,1400,1775,2218,2741,3360,4094,4965,"Female",4,30.4167,152.0835
"60","2-6mo",-0.0362,3002.2985,0.16706,800,1027,1354,1742,2202,2750,3402,4179,"Female",4,60.8334,182.5002
"61","3-7mo",0.0557,2616.8194,0.17682,800,727,1031,1391,1817,2320,2914,3614,"Female",4,91.2501,212.9169
"62","4-8mo",0.1899,2331.5089,0.18968,800,477,773,1122,1532,2009,2563,3202,"Female",4,121.6668,243.3336
"63","5-9mo",0.3154,2118.7222,0.20292,800,278,572,918,1319,1779,2304,2898,"Female",4,152.0835,273.7503
"64","6-10mo",0.4069,1963.5334,0.21481,800,130,424,768,1164,1613,2117,2680,"Female",4,182.5002,304.167
"65","7-11mo",0.4873,1855.0205,0.22441,800,20,318,663,1055,1495,1984,2521,"Female",4,212.9169,334.5837
"66","8-12mo",0.5659,1780.1251,0.2312,800,-62,241,589,980,1412,1884,2396,"Female",4,243.3336,365.0004
"67","9-13mo",0.6483,1726.3407,0.23622,800,-132,182,536,926,1351,1807,2293,"Female",4,273.7503,395.4171
"68","10-14mo",0.7201,1691.6549,0.2398,800,-186,139,500,892,1310,1754,2220,"Female",4,304.167,425.8338
"69","11-15mo",0.7759,1668.6291,0.24275,800,-229,107,475,869,1284,1719,2172,"Female",4,334.5837,456.2505
"70","12-16mo",0.8064,1655.384,0.24522,800,-257,87,460,855,1271,1702,2149,"Female",4,365.0004,486.6672
"71","13-17mo",0.8111,1648.5922,0.24757,800,-271,75,451,849,1266,1700,2148,"Female",4,395.4171,517.0839
