row_id,compartment,timepoint,feature,mz,rt,ion_mode,effect_size,raw_p,fdr,direction,putative_name,n_candidates,normalized_name,supplement_feature,supplement_detected,supplement_reliably_detected,supplement_abundant,match_type,supplement_match_ppm,supplement_status,ct_key,ct_label,supplement_label,tracking_name,n_cells,n_comp
122,Maternal plasma,pn12,RLC_NEG_MTB_13264,325.1835,0.0062,negative,-0.577726627314756,6.7826869321212e-4,0.0351557182297246,Downregulated,11-Dehydrocorticosterone,1,11dehydrocorticosterone,rLC_neg_mtb_2639500,TRUE,TRUE,FALSE,Mass within 25 ppm,0.615036977581101,Reliably detected,Maternal plasma · pn12,Maternal plasma · 1-2 months,Detected in supplement,11-Dehydrocorticosterone,2,2
838,Milk,pn34,RLC_NEG_MTB_4648675,381.1628,NA,negative,-0.51,NA,0.0049,Downregulated,11-Dehydrocorticosterone,1,11dehydrocorticosterone,NA,NA,NA,NA,NA,NA,No matched supplement feature,Milk · pn34,Milk · 3-4 months,Not reliably detected in supplement,11-Dehydrocorticosterone,2,2
32,Maternal VAMS,pn56,VAM_1001605,164.989,0.05,positive,-0.495315959333349,1.24144909526911e-5,0.0283057696363094,Downregulated,alloxan,1,alloxan,NA,NA,NA,NA,NA,NA,No matched supplement feature,Maternal VAMS · pn56,Maternal VAMS · 5-6 months,Not reliably detected in supplement,alloxan,2,2
214,Maternal plasma,pn12,RLC_NEG_MTB_3443885,156.9907,0.3740667,negative,-0.752184854054243,5.3274149876938e-4,0.03058202796594,Downregulated,alloxan,1,alloxan,rLC_neg_mtb_599574,TRUE,TRUE,FALSE,Mass within 25 ppm,0.636980001397022,Reliably detected,Maternal plasma · pn12,Maternal plasma · 1-2 months,Detected in supplement,alloxan,2,2
355,Maternal plasma,pn12,RLC_NEG_MTB_4815574,287.9936,0.6096666,negative,-0.768270419524432,2.679982612714e-4,0.0208059768182124,Downregulated,NA,0,NA,rLC_neg_mtb_6065882,TRUE,TRUE,FALSE,Mass within 25 ppm,0.347229817787326,Reliably detected,Maternal plasma · pn12,Maternal plasma · 1-2 months,Detected in supplement,m/z 287.9936,2,2
1298,Milk,pn34,RLC_NEG_MTB_7625164,287.9936,NA,negative,-0.4,NA,0.042,Downregulated,NA,0,NA,rLC_neg_mtb_6065882,TRUE,TRUE,FALSE,Mass within 25 ppm,0.347229817787326,Reliably detected,Milk · pn34,Milk · 3-4 months,Detected in supplement,m/z 287.9936,2,2
215,Maternal plasma,pn12,RLC_NEG_MTB_3444922,278.2203,0.3802667,negative,0.769324968341559,2.2459128659593e-4,0.0187404062132404,Upregulated,"(6Z,9Z,12Z)-Octadecatrienoic acid",2,6z9z12zoctadecatrienoicacid,rLC_neg_mtb_3905783,TRUE,TRUE,FALSE,Mass within 25 ppm,2.15655976946043,Reliably detected,Maternal plasma · pn12,Maternal plasma · 1-2 months,Detected in supplement,"(6Z,9Z,12Z)-Octadecatrienoic acid",2,2
912,Milk,1421d,RLC_NEG_MTB_5086958,278.2209,NA,negative,0.47,NA,0.012,Upregulated,"(6Z,9Z,12Z)-Octadecatrienoic acid",2,6z9z12zoctadecatrienoicacid,rLC_neg_mtb_3905783,TRUE,TRUE,FALSE,Mass within 25 ppm,0,Reliably detected,Milk · 1421d,Milk · 14-21 days,Detected in supplement,"(6Z,9Z,12Z)-Octadecatrienoic acid",2,2
426,Maternal plasma,pn12,RLC_NEG_MTB_910604,151.025,0.1178,negative,0.718613489646875,6.75381171525689e-5,0.00984380752633495,Upregulated,(R)-Glycerate,8,rglycerate,rLC_neg_mtb_1371248,TRUE,TRUE,FALSE,Mass within 25 ppm,5.29710817620655,Reliably detected,Maternal plasma · pn12,Maternal plasma · 1-2 months,Detected in supplement,(R)-Glycerate,2,2
1128,Milk,pn34,RLC_NEG_MTB_1203190,87.0089,NA,negative,0.43,NA,0.033,Upregulated,(R)-Glycerate,8,rglycerate,rLC_neg_mtb_117211,TRUE,TRUE,FALSE,Mass within 25 ppm,1.14930903544607,Reliably detected,Milk · pn34,Milk · 3-4 months,Detected in supplement,(R)-Glycerate,2,2
