"study","contrast","direction","pathway","feature"
"Misame (14-21 days)","BEP","down","Tyrosine Metabolism","Iron"
"Misame (14-21 days)","BEP","down","Phenylalanine and Tyrosine Metabolism","Iron"
"Misame (14-21 days)","BEP","down","Nucleotide Sugars Metabolism","Iron"
"Misame (14-21 days)","BEP","down","Inositol Metabolism","Manganese"
"Misame (14-21 days)","BEP","down","Propanoate Metabolism","Manganese"
"Misame (14-21 days)","BEP","down","Arginine and Proline Metabolism","Manganese"
"Misame (14-21 days)","BEP","down","Taurine and Hypotaurine Metabolism","Iron"
"Misame (14-21 days)","BEP","down","Steroid Biosynthesis","Iron"
"Misame (14-21 days)","BEP","down","Porphyrin Metabolism","Iron"
"Misame (14-21 days)","BEP","down","Phospholipid Biosynthesis","Manganese"
"Misame (14-21 days)","BEP","down","Oxidation of Branched Chain Fatty Acids","Iron"
"Misame (14-21 days)","BEP","down","Bile Acid Biosynthesis","Iron"
"Misame (14-21 days)","BEP","down","Galactose Metabolism","Iron"
"Misame (14-21 days)","BEP","down","Histidine Metabolism","Manganese"
"Misame (14-21 days)","BEP","down","Purine Metabolism","Iron"
"Misame (14-21 days)","BEP","down","Alanine Metabolism","Manganese"
"Misame (14-21 days)","BEP","down","Citric Acid Cycle","Manganese"
"Misame (14-21 days)","BEP","down","Urea Cycle","Manganese"
"Misame (14-21 days)","BEP","down","Pyruvate Metabolism","Manganese"
"Misame (14-21 days)","BEP","down","Ubiquinone Biosynthesis","Iron"
"Misame (14-21 days)","BEP","down","Arachidonic Acid Metabolism","Iron"
"Misame (14-21 days)","BEP","down","Gluconeogenesis","Manganese"
"Misame (14-21 days)","BEP","down","Lactose Synthesis","Manganese"
"Misame (14-21 days)","BEP","down","Lactose Synthesis","Iron"
"Misame (14-21 days)","BEP","down","Phytanic Acid Peroxisomal Oxidation","Iron"
"Misame (14-21 days)","BEP","down","Fatty Acid Biosynthesis","Manganese"
"Misame (14-21 days)","BEP","down","Phosphatidylinositol Phosphate Metabolism","Manganese"
"Misame (14-21 days)","BEP","down","Transfer of Acetyl Groups into Mitochondria","Manganese"
"Misame (14-21 days)","BEP","down","Degradation of Superoxides","Manganese"
"Misame (14-21 days)","BEP","down","Warburg Effect","Manganese"
