"study","contrast","direction","pathway","feature"
"Vital (2 mo.)","BEP","up","Glycine and Serine Metabolism","NAD"
"Vital (2 mo.)","BEP","up","Glycine and Serine Metabolism","FAD"
"Vital (2 mo.)","BEP","up","Pterine Biosynthesis","NAD"
"Vital (2 mo.)","BEP","up","Tyrosine Metabolism","NAD"
"Vital (2 mo.)","BEP","up","Tyrosine Metabolism","FAD"
"Vital (2 mo.)","BEP","up","Beta-Alanine Metabolism","Pantothenic acid"
"Vital (2 mo.)","BEP","up","Beta-Alanine Metabolism","NAD"
"Vital (2 mo.)","BEP","up","Beta-Alanine Metabolism","FAD"
"Vital (2 mo.)","BEP","up","Beta-Alanine Metabolism","Flavin mononucleotide"
"Vital (2 mo.)","BEP","up","Phenylalanine and Tyrosine Metabolism","FAD"
"Vital (2 mo.)","BEP","up","Ammonia Recycling","Biotin"
"Vital (2 mo.)","BEP","up","Ammonia Recycling","NAD"
"Vital (2 mo.)","BEP","up","Ammonia Recycling","FAD"
"Vital (2 mo.)","BEP","up","Nucleotide Sugars Metabolism","NAD"
"Vital (2 mo.)","BEP","up","Inositol Metabolism","NAD"
"Vital (2 mo.)","BEP","up","Cysteine Metabolism","NAD"
"Vital (2 mo.)","BEP","up","Glutathione Metabolism","FAD"
"Vital (2 mo.)","BEP","up","Propanoate Metabolism","Biotin"
"Vital (2 mo.)","BEP","up","Propanoate Metabolism","NAD"
"Vital (2 mo.)","BEP","up","Propanoate Metabolism","FAD"
"Vital (2 mo.)","BEP","up","Vitamin B6 Metabolism","FAD"
"Vital (2 mo.)","BEP","up","Vitamin B6 Metabolism","Flavin mononucleotide"
"Vital (2 mo.)","BEP","up","Arginine and Proline Metabolism","NAD"
"Vital (2 mo.)","BEP","up","Arginine and Proline Metabolism","FAD"
"Vital (2 mo.)","BEP","up","Arginine and Proline Metabolism","Flavin mononucleotide"
"Vital (2 mo.)","BEP","up","Steroid Biosynthesis","FAD"
"Vital (2 mo.)","BEP","up","Porphyrin Metabolism","NAD"
"Vital (2 mo.)","BEP","up","Porphyrin Metabolism","FAD"
"Vital (2 mo.)","BEP","up","Phospholipid Biosynthesis","NAD"
