"study","contrast","direction","pathway","feature"
"Misame (1-2 mo.)","BEP","up","Beta-Alanine Metabolism","Pantothenic acid"
"Misame (1-2 mo.)","BEP","up","Beta-Alanine Metabolism","Flavin mononucleotide"
"Misame (1-2 mo.)","BEP","up","Vitamin B6 Metabolism","Pyridoxine"
"Misame (1-2 mo.)","BEP","up","Vitamin B6 Metabolism","Flavin mononucleotide"
"Misame (1-2 mo.)","BEP","up","Vitamin B6 Metabolism","Pyridoxal"
"Misame (1-2 mo.)","BEP","up","Arginine and Proline Metabolism","Flavin mononucleotide"
"Misame (1-2 mo.)","BEP","up","Pantothenate and CoA Biosynthesis","Pantothenic acid"
"Misame (1-2 mo.)","BEP","up","Pantothenate and CoA Biosynthesis","Flavin mononucleotide"
"Misame (1-2 mo.)","BEP","up","Valine, Leucine and Isoleucine Degradation","Pyridoxal"
"Misame (1-2 mo.)","BEP","up","Pyrimidine Metabolism","Flavin mononucleotide"
"Misame (1-2 mo.)","BEP","up","Nicotinate and Nicotinamide Metabolism","Nicotinamide riboside"
"Misame (1-2 mo.)","BEP","up","Nicotinate and Nicotinamide Metabolism","Nicotinic acid mononucleotide"
"Misame (1-2 mo.)","BEP","up","Nicotinate and Nicotinamide Metabolism","Niacinamide"
"Misame (1-2 mo.)","BEP","up","Nicotinate and Nicotinamide Metabolism","Nudifloramide"
"Misame (1-2 mo.)","BEP","up","Riboflavin Metabolism","Riboflavin"
"Misame (1-2 mo.)","BEP","up","Riboflavin Metabolism","Flavin mononucleotide"
"Misame (1-2 mo.)","BEP","up","Thiamine Metabolism","Thiamine"
