"study","contrast","direction","pathway","total","hits","expected","raw_p","fdr"
"Vital (1.5 mo.)","BEP","up","Nicotinate and Nicotinamide Metabolism",7,6,3.4,0.036,1
"Vital (1.5 mo.)","BEP","up","Caffeine Metabolism",2,2,0.971,0.229,1
"Vital (1.5 mo.)","BEP","up","Glycerolipid Metabolism",2,2,0.971,0.229,1
"Vital (1.5 mo.)","BEP","up","Glycerol Phosphate Shuttle",2,2,0.971,0.229,1
"Vital (1.5 mo.)","BEP","up","Mitochondrial Electron Transport Chain",2,2,0.971,0.229,1
"Vital (1.5 mo.)","BEP","up","Mitochondrial Beta-Oxidation of Short Chain Saturated Fatty Acids",2,2,0.971,0.229,1
"Vital (1.5 mo.)","BEP","up","Valine, Leucine and Isoleucine Degradation",6,4,2.91,0.301,1
"Vital (1.5 mo.)","BEP","up","Ammonia Recycling",5,3,2.43,0.472,1
"Vital (1.5 mo.)","BEP","up","Arginine and Proline Metabolism",5,3,2.43,0.472,1
"Vital (1.5 mo.)","BEP","up","Threonine and 2-Oxobutanoate Degradation",5,3,2.43,0.472,1
"Vital (1.5 mo.)","BEP","up","Pantothenate and CoA Biosynthesis",3,2,1.46,0.478,1
"Vital (1.5 mo.)","BEP","up","Bile Acid Biosynthesis",3,2,1.46,0.478,1
"Vital (1.5 mo.)","BEP","up","Fatty acid Metabolism",3,2,1.46,0.478,1
"Vital (1.5 mo.)","BEP","up","Butyrate Metabolism",3,2,1.46,0.478,1
"Vital (1.5 mo.)","BEP","up","Retinol Metabolism",3,2,1.46,0.478,1
"Vital (1.5 mo.)","BEP","up","Thiamine Metabolism",3,2,1.46,0.478,1
"Vital (1.5 mo.)","BEP","up","Plasmalogen Synthesis",3,2,1.46,0.478,1
"Vital (1.5 mo.)","BEP","up","Mitochondrial Beta-Oxidation of Medium Chain Saturated Fatty Acids",3,2,1.46,0.478,1
"Vital (1.5 mo.)","BEP","up","Mitochondrial Beta-Oxidation of Long Chain Saturated Fatty Acids",3,2,1.46,0.478,1
"Vital (1.5 mo.)","BEP","up","D-Arginine and D-Ornithine Metabolism",1,1,0.486,0.486,1
"Vital (1.5 mo.)","BEP","up","Fatty Acid Elongation In Mitochondria",1,1,0.486,0.486,1
"Vital (1.5 mo.)","BEP","up","Biotin Metabolism",1,1,0.486,0.486,1
"Vital (1.5 mo.)","BEP","up","Ketone Body Metabolism",1,1,0.486,0.486,1
"Vital (1.5 mo.)","BEP","up","Steroidogenesis",1,1,0.486,0.486,1
"Vital (1.5 mo.)","BEP","up","Vitamin K Metabolism",1,1,0.486,0.486,1
"Vital (1.5 mo.)","BEP","up","Cardiolipin Biosynthesis",1,1,0.486,0.486,1
"Vital (1.5 mo.)","BEP","up","Androstenedione Metabolism",1,1,0.486,0.486,1
"Vital (1.5 mo.)","BEP","up","Beta-Alanine Metabolism",8,4,3.89,0.62,1
"Vital (1.5 mo.)","BEP","up","Vitamin B6 Metabolism",8,4,3.89,0.62,1
"Vital (1.5 mo.)","BEP","up","Propanoate Metabolism",6,3,2.91,0.642,1
"Vital (1.5 mo.)","BEP","up","Citric Acid Cycle",6,3,2.91,0.642,1
"Vital (1.5 mo.)","BEP","up","Glutamate Metabolism",6,3,2.91,0.642,1
"Vital (1.5 mo.)","BEP","up","Lysine Degradation",4,2,1.94,0.677,1
"Vital (1.5 mo.)","BEP","up","Tryptophan Metabolism",4,2,1.94,0.677,1
"Vital (1.5 mo.)","BEP","up","Gluconeogenesis",4,2,1.94,0.677,1
"Vital (1.5 mo.)","BEP","up","Transfer of Acetyl Groups into Mitochondria",4,2,1.94,0.677,1
"Vital (1.5 mo.)","BEP","up","Pterine Biosynthesis",2,1,0.971,0.743,1
"Vital (1.5 mo.)","BEP","up","Glutathione Metabolism",2,1,0.971,0.743,1
"Vital (1.5 mo.)","BEP","up","Selenoamino Acid Metabolism",2,1,0.971,0.743,1
"Vital (1.5 mo.)","BEP","up","Androgen and Estrogen Metabolism",2,1,0.971,0.743,1
"Vital (1.5 mo.)","BEP","up","Glucose-Alanine Cycle",2,1,0.971,0.743,1
"Vital (1.5 mo.)","BEP","up","Ethanol Degradation",2,1,0.971,0.743,1
"Vital (1.5 mo.)","BEP","up","Fatty Acid Biosynthesis",2,1,0.971,0.743,1
"Vital (1.5 mo.)","BEP","up","Pyruvaldehyde Degradation",2,1,0.971,0.743,1
"Vital (1.5 mo.)","BEP","up","Inositol Phosphate Metabolism",2,1,0.971,0.743,1
"Vital (1.5 mo.)","BEP","up","Carnitine Synthesis",2,1,0.971,0.743,1
"Vital (1.5 mo.)","BEP","up","De Novo Triacylglycerol Biosynthesis",2,1,0.971,0.743,1
"Vital (1.5 mo.)","BEP","up","Estrone Metabolism",2,1,0.971,0.743,1
"Vital (1.5 mo.)","BEP","up","Riboflavin Metabolism",7,3,3.4,0.775,1
"Vital (1.5 mo.)","BEP","up","Warburg Effect",7,3,3.4,0.775,1
"Vital (1.5 mo.)","BEP","up","Glycine and Serine Metabolism",5,2,2.43,0.813,1
"Vital (1.5 mo.)","BEP","up","Porphyrin Metabolism",5,2,2.43,0.813,1
"Vital (1.5 mo.)","BEP","up","Phospholipid Biosynthesis",5,2,2.43,0.813,1
"Vital (1.5 mo.)","BEP","up","Pyrimidine Metabolism",5,2,2.43,0.813,1
"Vital (1.5 mo.)","BEP","up","Folate Metabolism",5,2,2.43,0.813,1
"Vital (1.5 mo.)","BEP","up","Betaine Metabolism",5,2,2.43,0.813,1
"Vital (1.5 mo.)","BEP","up","Pyruvate Metabolism",8,3,3.89,0.868,1
"Vital (1.5 mo.)","BEP","up","Cysteine Metabolism",3,1,1.46,0.875,1
"Vital (1.5 mo.)","BEP","up","Steroid Biosynthesis",3,1,1.46,0.875,1
"Vital (1.5 mo.)","BEP","up","Glycolysis",3,1,1.46,0.875,1
"Vital (1.5 mo.)","BEP","up","Fructose and Mannose Degradation",3,1,1.46,0.875,1
"Vital (1.5 mo.)","BEP","up","Malate-Aspartate Shuttle",3,1,1.46,0.875,1
"Vital (1.5 mo.)","BEP","up","Thyroid hormone synthesis",3,1,1.46,0.875,1
"Vital (1.5 mo.)","BEP","up","Methionine Metabolism",6,2,2.91,0.899,1
"Vital (1.5 mo.)","BEP","up","Nucleotide Sugars Metabolism",4,1,1.94,0.942,1
"Vital (1.5 mo.)","BEP","up","Inositol Metabolism",4,1,1.94,0.942,1
"Vital (1.5 mo.)","BEP","up","Galactose Metabolism",4,1,1.94,0.942,1
"Vital (1.5 mo.)","BEP","up","Alanine Metabolism",4,1,1.94,0.942,1
"Vital (1.5 mo.)","BEP","up","Starch and Sucrose Metabolism",4,1,1.94,0.942,1
"Vital (1.5 mo.)","BEP","up","Urea Cycle",4,1,1.94,0.942,1
"Vital (1.5 mo.)","BEP","up","Aspartate Metabolism",4,1,1.94,0.942,1
"Vital (1.5 mo.)","BEP","up","Phytanic Acid Peroxisomal Oxidation",4,1,1.94,0.942,1
"Vital (1.5 mo.)","BEP","up","Histidine Metabolism",7,2,3.4,0.948,1
"Vital (1.5 mo.)","BEP","up","Purine Metabolism",7,2,3.4,0.948,1
"Vital (1.5 mo.)","BEP","up","Phenylalanine and Tyrosine Metabolism",5,1,2.43,0.974,1
"Vital (1.5 mo.)","BEP","up","Tyrosine Metabolism",8,2,3.89,0.975,1
