"outcome_group","arm_set","study","studytime","direction","contrast","module","pathway","total","hits","expected","raw_p","fdr_native","fdr_bh_pooled","significant","hit_features"
"primary","combined","Elicit","5 mo.","down","Nico","ora","Lactose Degradation",2,1,0.0571,0.0571,1,0.982969151670951,FALSE,"Potassium"
"primary","combined","Elicit","5 mo.","down","Nico","ora","Trehalose Degradation",2,1,0.0571,0.0571,1,0.982969151670951,FALSE,"Potassium"
"primary","combined","Elicit","5 mo.","down","Nico","ora","Glycolysis",3,1,0.0857,0.0857,1,0.982969151670951,FALSE,"Potassium"
"primary","combined","Elicit","5 mo.","down","Nico","ora","Spermidine and Spermine Biosynthesis",3,1,0.0857,0.0857,1,0.982969151670951,FALSE,"Potassium"
"primary","combined","Elicit","5 mo.","down","Nico","ora","Betaine Metabolism",5,1,0.143,0.143,1,0.982969151670951,FALSE,"Potassium"
"primary","combined","Elicit","5 mo.","down","Nico","ora","Methionine Metabolism",6,1,0.171,0.171,1,0.982969151670951,FALSE,"Potassium"
"primary","combined","Elicit","5 mo.","down","Nico","ora","Purine Metabolism",7,1,0.2,0.2,1,0.982969151670951,FALSE,"Potassium"
"primary","combined","Elicit","5 mo.","down","Nico","ora","Warburg Effect",7,1,0.2,0.2,1,0.982969151670951,FALSE,"Potassium"
"primary","combined","Elicit","5 mo.","down","Nico","ora","Pyruvate Metabolism",8,1,0.229,0.229,1,0.982969151670951,FALSE,"Potassium"
"primary","combined","Misame","1-2 mo.","down","BEP","ora","Degradation of Superoxides",3,2,0.257,0.0148,1,0.982969151670951,FALSE,"Copper; Manganese"
"primary","combined","Misame","1-2 mo.","down","BEP","ora","Histidine Metabolism",7,2,0.6,0.0952,1,0.982969151670951,FALSE,"Copper; Manganese"
"primary","combined","Misame","1-2 mo.","down","BEP","ora","Catecholamine Biosynthesis",2,1,0.171,0.166,1,0.982969151670951,FALSE,"Copper"
"primary","combined","Misame","1-2 mo.","down","BEP","ora","Fatty Acid Biosynthesis",2,1,0.171,0.166,1,0.982969151670951,FALSE,"Manganese"
"primary","combined","Misame","1-2 mo.","down","BEP","ora","Phosphatidylinositol Phosphate Metabolism",3,1,0.257,0.242,1,0.982969151670951,FALSE,"Manganese"
"primary","combined","Misame","1-2 mo.","down","BEP","ora","Inositol Metabolism",4,1,0.343,0.313,1,0.982969151670951,FALSE,"Manganese"
"primary","combined","Misame","1-2 mo.","down","BEP","ora","Alanine Metabolism",4,1,0.343,0.313,1,0.982969151670951,FALSE,"Manganese"
"primary","combined","Misame","1-2 mo.","down","BEP","ora","Urea Cycle",4,1,0.343,0.313,1,0.982969151670951,FALSE,"Manganese"
"primary","combined","Misame","1-2 mo.","down","BEP","ora","Gluconeogenesis",4,1,0.343,0.313,1,0.982969151670951,FALSE,"Manganese"
"primary","combined","Misame","1-2 mo.","down","BEP","ora","Transfer of Acetyl Groups into Mitochondria",4,1,0.343,0.313,1,0.982969151670951,FALSE,"Manganese"
"primary","combined","Misame","1-2 mo.","down","BEP","ora","Arginine and Proline Metabolism",5,1,0.429,0.38,1,0.982969151670951,FALSE,"Manganese"
"primary","combined","Misame","1-2 mo.","down","BEP","ora","Phospholipid Biosynthesis",5,1,0.429,0.38,1,0.982969151670951,FALSE,"Manganese"
"primary","combined","Misame","1-2 mo.","down","BEP","ora","Lactose Synthesis",5,1,0.429,0.38,1,0.982969151670951,FALSE,"Manganese"
"primary","combined","Misame","1-2 mo.","down","BEP","ora","Propanoate Metabolism",6,1,0.514,0.442,1,0.982969151670951,FALSE,"Manganese"
"primary","combined","Misame","1-2 mo.","down","BEP","ora","Citric Acid Cycle",6,1,0.514,0.442,1,0.982969151670951,FALSE,"Manganese"
"primary","combined","Misame","1-2 mo.","down","BEP","ora","Riboflavin Metabolism",7,1,0.6,0.499,1,0.982969151670951,FALSE,"Copper"
"primary","combined","Misame","1-2 mo.","down","BEP","ora","Warburg Effect",7,1,0.6,0.499,1,0.982969151670951,FALSE,"Manganese"
"primary","combined","Misame","1-2 mo.","down","BEP","ora","Tyrosine Metabolism",8,1,0.686,0.553,1,0.982969151670951,FALSE,"Copper"
"primary","combined","Misame","1-2 mo.","down","BEP","ora","Beta-Alanine Metabolism",8,1,0.686,0.553,1,0.982969151670951,FALSE,"Copper"
"primary","combined","Misame","1-2 mo.","down","BEP","ora","Pyruvate Metabolism",8,1,0.686,0.553,1,0.982969151670951,FALSE,"Manganese"
