"study","contrast","direction","pathway","feature"
"Elicit (1 mo.)","Nico+Az.","down","Tyrosine Metabolism","Iron"
"Elicit (1 mo.)","Nico+Az.","down","Phenylalanine and Tyrosine Metabolism","Iron"
"Elicit (1 mo.)","Nico+Az.","down","Nucleotide Sugars Metabolism","Iron"
"Elicit (1 mo.)","Nico+Az.","down","Propanoate Metabolism","Thiamine pyrophosphate"
"Elicit (1 mo.)","Nico+Az.","down","Taurine and Hypotaurine Metabolism","Iron"
"Elicit (1 mo.)","Nico+Az.","down","Steroid Biosynthesis","Iron"
"Elicit (1 mo.)","Nico+Az.","down","Porphyrin Metabolism","Iron"
"Elicit (1 mo.)","Nico+Az.","down","Oxidation of Branched Chain Fatty Acids","Thiamine pyrophosphate"
"Elicit (1 mo.)","Nico+Az.","down","Oxidation of Branched Chain Fatty Acids","Iron"
"Elicit (1 mo.)","Nico+Az.","down","Valine, Leucine and Isoleucine Degradation","Thiamine pyrophosphate"
"Elicit (1 mo.)","Nico+Az.","down","Bile Acid Biosynthesis","Iron"
"Elicit (1 mo.)","Nico+Az.","down","Lysine Degradation","Thiamine pyrophosphate"
"Elicit (1 mo.)","Nico+Az.","down","Galactose Metabolism","Iron"
"Elicit (1 mo.)","Nico+Az.","down","Purine Metabolism","Iron"
"Elicit (1 mo.)","Nico+Az.","down","Citric Acid Cycle","Thiamine pyrophosphate"
"Elicit (1 mo.)","Nico+Az.","down","Pyruvate Metabolism","Thiamine pyrophosphate"
"Elicit (1 mo.)","Nico+Az.","down","Ubiquinone Biosynthesis","Iron"
"Elicit (1 mo.)","Nico+Az.","down","Arachidonic Acid Metabolism","Iron"
"Elicit (1 mo.)","Nico+Az.","down","Thiamine Metabolism","Thiamine"
"Elicit (1 mo.)","Nico+Az.","down","Thiamine Metabolism","Thiamine pyrophosphate"
"Elicit (1 mo.)","Nico+Az.","down","Lactose Synthesis","Iron"
"Elicit (1 mo.)","Nico+Az.","down","Phytanic Acid Peroxisomal Oxidation","Thiamine pyrophosphate"
"Elicit (1 mo.)","Nico+Az.","down","Phytanic Acid Peroxisomal Oxidation","Iron"
"Elicit (1 mo.)","Nico+Az.","down","Threonine and 2-Oxobutanoate Degradation","Thiamine pyrophosphate"
"Elicit (1 mo.)","Nico+Az.","down","Transfer of Acetyl Groups into Mitochondria","Thiamine pyrophosphate"
"Elicit (1 mo.)","Nico+Az.","down","Warburg Effect","Thiamine pyrophosphate"
