"study","contrast","direction","pathway","feature"
"Elicit (1 mo.)","Nico","up","Glycine and Serine Metabolism","NAD"
"Elicit (1 mo.)","Nico","up","Pterine Biosynthesis","NAD"
"Elicit (1 mo.)","Nico","up","Tyrosine Metabolism","NAD"
"Elicit (1 mo.)","Nico","up","Beta-Alanine Metabolism","NAD"
"Elicit (1 mo.)","Nico","up","Ammonia Recycling","NAD"
"Elicit (1 mo.)","Nico","up","Nucleotide Sugars Metabolism","NAD"
"Elicit (1 mo.)","Nico","up","Inositol Metabolism","NAD"
"Elicit (1 mo.)","Nico","up","Cysteine Metabolism","NAD"
"Elicit (1 mo.)","Nico","up","Propanoate Metabolism","NAD"
"Elicit (1 mo.)","Nico","up","Arginine and Proline Metabolism","NAD"
"Elicit (1 mo.)","Nico","up","Porphyrin Metabolism","NAD"
"Elicit (1 mo.)","Nico","up","Phospholipid Biosynthesis","NAD"
"Elicit (1 mo.)","Nico","up","Caffeine Metabolism","NAD"
"Elicit (1 mo.)","Nico","up","Selenoamino Acid Metabolism","NAD"
"Elicit (1 mo.)","Nico","up","Valine, Leucine and Isoleucine Degradation","NAD"
"Elicit (1 mo.)","Nico","up","Methionine Metabolism","NAD"
"Elicit (1 mo.)","Nico","up","Bile Acid Biosynthesis","NAD"
"Elicit (1 mo.)","Nico","up","Lysine Degradation","NAD"
"Elicit (1 mo.)","Nico","up","Glycerolipid Metabolism","NAD"
"Elicit (1 mo.)","Nico","up","Glycolysis","NAD"
"Elicit (1 mo.)","Nico","up","Sulfate/Sulfite Metabolism","Molybdenum"
"Elicit (1 mo.)","Nico","up","Galactose Metabolism","NAD"
"Elicit (1 mo.)","Nico","up","Histidine Metabolism","NAD"
"Elicit (1 mo.)","Nico","up","Nicotinate and Nicotinamide Metabolism","Nicotinamide riboside"
"Elicit (1 mo.)","Nico","up","Nicotinate and Nicotinamide Metabolism","NAD"
"Elicit (1 mo.)","Nico","up","Nicotinate and Nicotinamide Metabolism","Nicotinic acid mononucleotide"
"Elicit (1 mo.)","Nico","up","Nicotinate and Nicotinamide Metabolism","Niacinamide"
"Elicit (1 mo.)","Nico","up","Nicotinate and Nicotinamide Metabolism","Nudifloramide"
"Elicit (1 mo.)","Nico","up","Purine Metabolism","NAD"
"Elicit (1 mo.)","Nico","up","Fatty acid Metabolism","NAD"
"Elicit (1 mo.)","Nico","up","Folate Metabolism","NAD"
"Elicit (1 mo.)","Nico","up","Fatty Acid Elongation In Mitochondria","NAD"
"Elicit (1 mo.)","Nico","up","Citric Acid Cycle","NAD"
"Elicit (1 mo.)","Nico","up","Starch and Sucrose Metabolism","NAD"
"Elicit (1 mo.)","Nico","up","Urea Cycle","NAD"
"Elicit (1 mo.)","Nico","up","Pyruvate Metabolism","NAD"
"Elicit (1 mo.)","Nico","up","Tryptophan Metabolism","NAD"
"Elicit (1 mo.)","Nico","up","Fructose and Mannose Degradation","NAD"
"Elicit (1 mo.)","Nico","up","Androgen and Estrogen Metabolism","NAD"
"Elicit (1 mo.)","Nico","up","Ketone Body Metabolism","NAD"
"Elicit (1 mo.)","Nico","up","Glutamate Metabolism","NAD"
"Elicit (1 mo.)","Nico","up","Butyrate Metabolism","NAD"
"Elicit (1 mo.)","Nico","up","Retinol Metabolism","NAD"
"Elicit (1 mo.)","Nico","up","Betaine Metabolism","NAD"
"Elicit (1 mo.)","Nico","up","Glycerol Phosphate Shuttle","NAD"
"Elicit (1 mo.)","Nico","up","Glucose-Alanine Cycle","NAD"
"Elicit (1 mo.)","Nico","up","Gluconeogenesis","NAD"
"Elicit (1 mo.)","Nico","up","Malate-Aspartate Shuttle","NAD"
"Elicit (1 mo.)","Nico","up","Steroidogenesis","NAD"
"Elicit (1 mo.)","Nico","up","Mitochondrial Electron Transport Chain","NAD"
"Elicit (1 mo.)","Nico","up","Ethanol Degradation","NAD"
"Elicit (1 mo.)","Nico","up","Phytanic Acid Peroxisomal Oxidation","NAD"
"Elicit (1 mo.)","Nico","up","Threonine and 2-Oxobutanoate Degradation","NAD"
"Elicit (1 mo.)","Nico","up","Inositol Phosphate Metabolism","NAD"
"Elicit (1 mo.)","Nico","up","Carnitine Synthesis","NAD"
"Elicit (1 mo.)","Nico","up","Transfer of Acetyl Groups into Mitochondria","NAD"
"Elicit (1 mo.)","Nico","up","Plasmalogen Synthesis","NAD"
"Elicit (1 mo.)","Nico","up","Mitochondrial Beta-Oxidation of Short Chain Saturated Fatty Acids","NAD"
"Elicit (1 mo.)","Nico","up","Mitochondrial Beta-Oxidation of Medium Chain Saturated Fatty Acids","NAD"
"Elicit (1 mo.)","Nico","up","Mitochondrial Beta-Oxidation of Long Chain Saturated Fatty Acids","NAD"
"Elicit (1 mo.)","Nico","up","Warburg Effect","NAD"
"Elicit (1 mo.)","Nico","up","De Novo Triacylglycerol Biosynthesis","NAD"
"Elicit (1 mo.)","Nico","up","Cardiolipin Biosynthesis","NAD"
"Elicit (1 mo.)","Nico","up","Androstenedione Metabolism","NAD"
"Elicit (1 mo.)","Nico","up","Estrone Metabolism","NAD"
