"study","contrast","direction","pathway","feature"
"Elicit (5 mo.)","Az.","down","Glycine and Serine Metabolism","Magnesium"
"Elicit (5 mo.)","Az.","down","Tyrosine Metabolism","Magnesium"
"Elicit (5 mo.)","Az.","down","Phenylalanine and Tyrosine Metabolism","Magnesium"
"Elicit (5 mo.)","Az.","down","Ammonia Recycling","Magnesium"
"Elicit (5 mo.)","Az.","down","Nucleotide Sugars Metabolism","Magnesium"
"Elicit (5 mo.)","Az.","down","Inositol Metabolism","Magnesium"
"Elicit (5 mo.)","Az.","down","Vitamin B6 Metabolism","Magnesium"
"Elicit (5 mo.)","Az.","down","Steroid Biosynthesis","Magnesium"
"Elicit (5 mo.)","Az.","down","Phospholipid Biosynthesis","Magnesium"
"Elicit (5 mo.)","Az.","down","Oxidation of Branched Chain Fatty Acids","Magnesium"
"Elicit (5 mo.)","Az.","down","Pentose Phosphate Pathway","Magnesium"
"Elicit (5 mo.)","Az.","down","Methionine Metabolism","Magnesium"
"Elicit (5 mo.)","Az.","down","Sphingolipid Metabolism","Magnesium"
"Elicit (5 mo.)","Az.","down","Glycolysis","Magnesium"
"Elicit (5 mo.)","Az.","down","Sulfate/Sulfite Metabolism","Magnesium"
"Elicit (5 mo.)","Az.","down","Galactose Metabolism","Magnesium"
"Elicit (5 mo.)","Az.","down","Amino Sugar Metabolism","Magnesium"
"Elicit (5 mo.)","Az.","down","Pyrimidine Metabolism","Magnesium"
"Elicit (5 mo.)","Az.","down","Nicotinate and Nicotinamide Metabolism","Magnesium"
"Elicit (5 mo.)","Az.","down","Purine Metabolism","Magnesium"
"Elicit (5 mo.)","Az.","down","Fatty acid Metabolism","Magnesium"
"Elicit (5 mo.)","Az.","down","Beta Oxidation of Very Long Chain Fatty Acids","Magnesium"
"Elicit (5 mo.)","Az.","down","Folate Metabolism","Magnesium"
"Elicit (5 mo.)","Az.","down","Citric Acid Cycle","Magnesium"
"Elicit (5 mo.)","Az.","down","Starch and Sucrose Metabolism","Magnesium"
"Elicit (5 mo.)","Az.","down","Pyruvate Metabolism","Magnesium"
"Elicit (5 mo.)","Az.","down","Fructose and Mannose Degradation","Magnesium"
"Elicit (5 mo.)","Az.","down","Aspartate Metabolism","Magnesium"
"Elicit (5 mo.)","Az.","down","Riboflavin Metabolism","Magnesium"
"Elicit (5 mo.)","Az.","down","Glutamate Metabolism","Magnesium"
"Elicit (5 mo.)","Az.","down","Butyrate Metabolism","Magnesium"
"Elicit (5 mo.)","Az.","down","Arachidonic Acid Metabolism","Magnesium"
"Elicit (5 mo.)","Az.","down","Betaine Metabolism","Magnesium"
"Elicit (5 mo.)","Az.","down","Phenylacetate Metabolism","Magnesium"
"Elicit (5 mo.)","Az.","down","Gluconeogenesis","Magnesium"
"Elicit (5 mo.)","Az.","down","Lactose Synthesis","Magnesium"
"Elicit (5 mo.)","Az.","down","Spermidine and Spermine Biosynthesis","Magnesium"
"Elicit (5 mo.)","Az.","down","Phytanic Acid Peroxisomal Oxidation","Magnesium"
"Elicit (5 mo.)","Az.","down","Inositol Phosphate Metabolism","Magnesium"
"Elicit (5 mo.)","Az.","down","Phosphatidylinositol Phosphate Metabolism","Magnesium"
"Elicit (5 mo.)","Az.","down","Plasmalogen Synthesis","Magnesium"
"Elicit (5 mo.)","Az.","down","Mitochondrial Beta-Oxidation of Medium Chain Saturated Fatty Acids","Magnesium"
"Elicit (5 mo.)","Az.","down","Mitochondrial Beta-Oxidation of Long Chain Saturated Fatty Acids","Magnesium"
"Elicit (5 mo.)","Az.","down","Warburg Effect","Magnesium"
"Elicit (5 mo.)","Az.","down","De Novo Triacylglycerol Biosynthesis","Magnesium"
"Elicit (5 mo.)","Az.","down","Estrone Metabolism","Magnesium"
