"study","contrast","direction","pathway","total","hits","expected","raw_p","fdr"
"Elicit (5 mo.)","Nico","up","Nicotinate and Nicotinamide Metabolism",7,5,1.8,0.00642,0.629
"Elicit (5 mo.)","Nico","up","Transfer of Acetyl Groups into Mitochondria",4,3,1.03,0.0441,1
"Elicit (5 mo.)","Nico","up","Propanoate Metabolism",6,3,1.54,0.162,1
"Elicit (5 mo.)","Nico","up","Citric Acid Cycle",6,3,1.54,0.162,1
"Elicit (5 mo.)","Nico","up","Warburg Effect",7,3,1.8,0.242,1
"Elicit (5 mo.)","Nico","up","Fatty Acid Elongation In Mitochondria",1,1,0.257,0.257,1
"Elicit (5 mo.)","Nico","up","Ketone Body Metabolism",1,1,0.257,0.257,1
"Elicit (5 mo.)","Nico","up","Steroidogenesis",1,1,0.257,0.257,1
"Elicit (5 mo.)","Nico","up","Cardiolipin Biosynthesis",1,1,0.257,0.257,1
"Elicit (5 mo.)","Nico","up","Androstenedione Metabolism",1,1,0.257,0.257,1
"Elicit (5 mo.)","Nico","up","Inositol Metabolism",4,2,1.03,0.268,1
"Elicit (5 mo.)","Nico","up","Lysine Degradation",4,2,1.03,0.268,1
"Elicit (5 mo.)","Nico","up","Urea Cycle",4,2,1.03,0.268,1
"Elicit (5 mo.)","Nico","up","Gluconeogenesis",4,2,1.03,0.268,1
"Elicit (5 mo.)","Nico","up","Phytanic Acid Peroxisomal Oxidation",4,2,1.03,0.268,1
"Elicit (5 mo.)","Nico","up","Pyruvate Metabolism",8,3,2.06,0.33,1
"Elicit (5 mo.)","Nico","up","Arginine and Proline Metabolism",5,2,1.29,0.383,1
"Elicit (5 mo.)","Nico","up","Phospholipid Biosynthesis",5,2,1.29,0.383,1
"Elicit (5 mo.)","Nico","up","Threonine and 2-Oxobutanoate Degradation",5,2,1.29,0.383,1
"Elicit (5 mo.)","Nico","up","Pterine Biosynthesis",2,1,0.514,0.454,1
"Elicit (5 mo.)","Nico","up","Caffeine Metabolism",2,1,0.514,0.454,1
"Elicit (5 mo.)","Nico","up","Selenoamino Acid Metabolism",2,1,0.514,0.454,1
"Elicit (5 mo.)","Nico","up","Glycerolipid Metabolism",2,1,0.514,0.454,1
"Elicit (5 mo.)","Nico","up","Sulfate/Sulfite Metabolism",2,1,0.514,0.454,1
"Elicit (5 mo.)","Nico","up","Androgen and Estrogen Metabolism",2,1,0.514,0.454,1
"Elicit (5 mo.)","Nico","up","Glycerol Phosphate Shuttle",2,1,0.514,0.454,1
