"study","contrast","direction","pathway","feature"
"Misame (14-21 days)","IFA/BEP","down","Tyrosine Metabolism","Iron"
"Misame (14-21 days)","IFA/BEP","down","Phenylalanine and Tyrosine Metabolism","Iron"
"Misame (14-21 days)","IFA/BEP","down","Nucleotide Sugars Metabolism","Iron"
"Misame (14-21 days)","IFA/BEP","down","Taurine and Hypotaurine Metabolism","Iron"
"Misame (14-21 days)","IFA/BEP","down","Steroid Biosynthesis","Iron"
"Misame (14-21 days)","IFA/BEP","down","Porphyrin Metabolism","Iron"
"Misame (14-21 days)","IFA/BEP","down","Oxidation of Branched Chain Fatty Acids","Iron"
"Misame (14-21 days)","IFA/BEP","down","Bile Acid Biosynthesis","Iron"
"Misame (14-21 days)","IFA/BEP","down","Galactose Metabolism","Iron"
"Misame (14-21 days)","IFA/BEP","down","Purine Metabolism","Iron"
"Misame (14-21 days)","IFA/BEP","down","Ubiquinone Biosynthesis","Iron"
"Misame (14-21 days)","IFA/BEP","down","Arachidonic Acid Metabolism","Iron"
"Misame (14-21 days)","IFA/BEP","down","Lactose Synthesis","Iron"
"Misame (14-21 days)","IFA/BEP","down","Phytanic Acid Peroxisomal Oxidation","Iron"
