"study","contrast","direction","pathway","feature"
"Misame (3-4 mo.)","BEP/BEP","down","Glycine and Serine Metabolism","Magnesium"
"Misame (3-4 mo.)","BEP/BEP","down","Tyrosine Metabolism","Magnesium"
"Misame (3-4 mo.)","BEP/BEP","down","Phenylalanine and Tyrosine Metabolism","Magnesium"
"Misame (3-4 mo.)","BEP/BEP","down","Ammonia Recycling","Magnesium"
"Misame (3-4 mo.)","BEP/BEP","down","Nucleotide Sugars Metabolism","Magnesium"
"Misame (3-4 mo.)","BEP/BEP","down","Inositol Metabolism","Magnesium"
"Misame (3-4 mo.)","BEP/BEP","down","Propanoate Metabolism","Thiamine pyrophosphate"
"Misame (3-4 mo.)","BEP/BEP","down","Vitamin B6 Metabolism","Magnesium"
"Misame (3-4 mo.)","BEP/BEP","down","Steroid Biosynthesis","Magnesium"
"Misame (3-4 mo.)","BEP/BEP","down","Phospholipid Biosynthesis","Magnesium"
"Misame (3-4 mo.)","BEP/BEP","down","Oxidation of Branched Chain Fatty Acids","Magnesium"
"Misame (3-4 mo.)","BEP/BEP","down","Oxidation of Branched Chain Fatty Acids","Thiamine pyrophosphate"
"Misame (3-4 mo.)","BEP/BEP","down","Pentose Phosphate Pathway","Magnesium"
"Misame (3-4 mo.)","BEP/BEP","down","Valine, Leucine and Isoleucine Degradation","Thiamine pyrophosphate"
"Misame (3-4 mo.)","BEP/BEP","down","Methionine Metabolism","Magnesium"
"Misame (3-4 mo.)","BEP/BEP","down","Sphingolipid Metabolism","Magnesium"
"Misame (3-4 mo.)","BEP/BEP","down","Lysine Degradation","Thiamine pyrophosphate"
"Misame (3-4 mo.)","BEP/BEP","down","Glycolysis","Magnesium"
"Misame (3-4 mo.)","BEP/BEP","down","Sulfate/Sulfite Metabolism","Magnesium"
"Misame (3-4 mo.)","BEP/BEP","down","Galactose Metabolism","Magnesium"
"Misame (3-4 mo.)","BEP/BEP","down","Amino Sugar Metabolism","Magnesium"
"Misame (3-4 mo.)","BEP/BEP","down","Pyrimidine Metabolism","Magnesium"
"Misame (3-4 mo.)","BEP/BEP","down","Nicotinate and Nicotinamide Metabolism","Magnesium"
"Misame (3-4 mo.)","BEP/BEP","down","Purine Metabolism","Magnesium"
"Misame (3-4 mo.)","BEP/BEP","down","Fatty acid Metabolism","Magnesium"
"Misame (3-4 mo.)","BEP/BEP","down","Beta Oxidation of Very Long Chain Fatty Acids","Magnesium"
"Misame (3-4 mo.)","BEP/BEP","down","Folate Metabolism","Magnesium"
"Misame (3-4 mo.)","BEP/BEP","down","Citric Acid Cycle","Magnesium"
"Misame (3-4 mo.)","BEP/BEP","down","Citric Acid Cycle","Thiamine pyrophosphate"
"Misame (3-4 mo.)","BEP/BEP","down","Starch and Sucrose Metabolism","Magnesium"
"Misame (3-4 mo.)","BEP/BEP","down","Pyruvate Metabolism","Magnesium"
"Misame (3-4 mo.)","BEP/BEP","down","Pyruvate Metabolism","Thiamine pyrophosphate"
"Misame (3-4 mo.)","BEP/BEP","down","Fructose and Mannose Degradation","Magnesium"
"Misame (3-4 mo.)","BEP/BEP","down","Aspartate Metabolism","Magnesium"
"Misame (3-4 mo.)","BEP/BEP","down","Riboflavin Metabolism","Magnesium"
"Misame (3-4 mo.)","BEP/BEP","down","Glutamate Metabolism","Magnesium"
"Misame (3-4 mo.)","BEP/BEP","down","Butyrate Metabolism","Magnesium"
"Misame (3-4 mo.)","BEP/BEP","down","Arachidonic Acid Metabolism","Magnesium"
"Misame (3-4 mo.)","BEP/BEP","down","Thiamine Metabolism","Thiamine pyrophosphate"
"Misame (3-4 mo.)","BEP/BEP","down","Betaine Metabolism","Magnesium"
"Misame (3-4 mo.)","BEP/BEP","down","Phenylacetate Metabolism","Magnesium"
"Misame (3-4 mo.)","BEP/BEP","down","Gluconeogenesis","Magnesium"
"Misame (3-4 mo.)","BEP/BEP","down","Lactose Synthesis","Magnesium"
"Misame (3-4 mo.)","BEP/BEP","down","Spermidine and Spermine Biosynthesis","Magnesium"
"Misame (3-4 mo.)","BEP/BEP","down","Phytanic Acid Peroxisomal Oxidation","Magnesium"
"Misame (3-4 mo.)","BEP/BEP","down","Phytanic Acid Peroxisomal Oxidation","Thiamine pyrophosphate"
"Misame (3-4 mo.)","BEP/BEP","down","Threonine and 2-Oxobutanoate Degradation","Thiamine pyrophosphate"
"Misame (3-4 mo.)","BEP/BEP","down","Inositol Phosphate Metabolism","Magnesium"
"Misame (3-4 mo.)","BEP/BEP","down","Phosphatidylinositol Phosphate Metabolism","Magnesium"
"Misame (3-4 mo.)","BEP/BEP","down","Transfer of Acetyl Groups into Mitochondria","Thiamine pyrophosphate"
"Misame (3-4 mo.)","BEP/BEP","down","Plasmalogen Synthesis","Magnesium"
"Misame (3-4 mo.)","BEP/BEP","down","Mitochondrial Beta-Oxidation of Medium Chain Saturated Fatty Acids","Magnesium"
"Misame (3-4 mo.)","BEP/BEP","down","Mitochondrial Beta-Oxidation of Long Chain Saturated Fatty Acids","Magnesium"
"Misame (3-4 mo.)","BEP/BEP","down","Warburg Effect","Magnesium"
"Misame (3-4 mo.)","BEP/BEP","down","Warburg Effect","Thiamine pyrophosphate"
"Misame (3-4 mo.)","BEP/BEP","down","De Novo Triacylglycerol Biosynthesis","Magnesium"
"Misame (3-4 mo.)","BEP/BEP","down","Estrone Metabolism","Magnesium"
