"study","contrast","direction","pathway","feature"
"Misame (3-4 mo.)","BEP/BEP","up","Beta-Alanine Metabolism","Pantothenic acid"
"Misame (3-4 mo.)","BEP/BEP","up","Beta-Alanine Metabolism","Flavin mononucleotide"
"Misame (3-4 mo.)","BEP/BEP","up","Vitamin B6 Metabolism","Pyridoxine"
"Misame (3-4 mo.)","BEP/BEP","up","Vitamin B6 Metabolism","Pyridoxamine"
"Misame (3-4 mo.)","BEP/BEP","up","Vitamin B6 Metabolism","Flavin mononucleotide"
"Misame (3-4 mo.)","BEP/BEP","up","Vitamin B6 Metabolism","Pyridoxal"
"Misame (3-4 mo.)","BEP/BEP","up","Arginine and Proline Metabolism","Flavin mononucleotide"
"Misame (3-4 mo.)","BEP/BEP","up","Pantothenate and CoA Biosynthesis","Pantothenic acid"
"Misame (3-4 mo.)","BEP/BEP","up","Pantothenate and CoA Biosynthesis","Flavin mononucleotide"
"Misame (3-4 mo.)","BEP/BEP","up","Valine, Leucine and Isoleucine Degradation","Pyridoxal"
"Misame (3-4 mo.)","BEP/BEP","up","Pyrimidine Metabolism","Flavin mononucleotide"
"Misame (3-4 mo.)","BEP/BEP","up","Nicotinate and Nicotinamide Metabolism","Nicotinamide riboside"
"Misame (3-4 mo.)","BEP/BEP","up","Nicotinate and Nicotinamide Metabolism","Nicotinic acid mononucleotide"
"Misame (3-4 mo.)","BEP/BEP","up","Nicotinate and Nicotinamide Metabolism","Niacinamide"
"Misame (3-4 mo.)","BEP/BEP","up","Nicotinate and Nicotinamide Metabolism","Nudifloramide"
"Misame (3-4 mo.)","BEP/BEP","up","Riboflavin Metabolism","Riboflavin"
"Misame (3-4 mo.)","BEP/BEP","up","Riboflavin Metabolism","Flavin mononucleotide"
