"study","contrast","direction","pathway","total","hits","expected","raw_p","fdr"
"Misame (14-21 days)","BEP/BEP","up","Nicotinate and Nicotinamide Metabolism",7,4,2.6,0.214,1
"Misame (14-21 days)","BEP/BEP","up","Pantothenate and CoA Biosynthesis",3,2,1.11,0.306,1
"Misame (14-21 days)","BEP/BEP","up","Thiamine Metabolism",3,2,1.11,0.306,1
"Misame (14-21 days)","BEP/BEP","up","Vitamin B6 Metabolism",8,4,2.97,0.325,1
"Misame (14-21 days)","BEP/BEP","up","Biotin Metabolism",1,1,0.371,0.371,1
"Misame (14-21 days)","BEP/BEP","up","Fatty Acid Biosynthesis",2,1,0.743,0.612,1
"Misame (14-21 days)","BEP/BEP","up","Valine, Leucine and Isoleucine Degradation",6,2,2.23,0.743,1
"Misame (14-21 days)","BEP/BEP","up","Riboflavin Metabolism",7,2,2.6,0.83,1
"Misame (14-21 days)","BEP/BEP","up","Alanine Metabolism",4,1,1.49,0.86,1
"Misame (14-21 days)","BEP/BEP","up","Gluconeogenesis",4,1,1.49,0.86,1
"Misame (14-21 days)","BEP/BEP","up","Transfer of Acetyl Groups into Mitochondria",4,1,1.49,0.86,1
"Misame (14-21 days)","BEP/BEP","up","Beta-Alanine Metabolism",8,2,2.97,0.892,1
"Misame (14-21 days)","BEP/BEP","up","Ammonia Recycling",5,1,1.86,0.919,1
"Misame (14-21 days)","BEP/BEP","up","Arginine and Proline Metabolism",5,1,1.86,0.919,1
"Misame (14-21 days)","BEP/BEP","up","Pyrimidine Metabolism",5,1,1.86,0.919,1
"Misame (14-21 days)","BEP/BEP","up","Threonine and 2-Oxobutanoate Degradation",5,1,1.86,0.919,1
"Misame (14-21 days)","BEP/BEP","up","Propanoate Metabolism",6,1,2.23,0.954,1
"Misame (14-21 days)","BEP/BEP","up","Citric Acid Cycle",6,1,2.23,0.954,1
"Misame (14-21 days)","BEP/BEP","up","Glutamate Metabolism",6,1,2.23,0.954,1
"Misame (14-21 days)","BEP/BEP","up","Warburg Effect",7,1,2.6,0.975,1
"Misame (14-21 days)","BEP/BEP","up","Pyruvate Metabolism",8,1,2.97,0.986,1
"Misame (14-21 days)","BEP/IFA","up","Pantothenate and CoA Biosynthesis",3,2,0.257,0.0148,1
"Misame (14-21 days)","BEP/IFA","up","Riboflavin Metabolism",7,2,0.6,0.0952,1
"Misame (14-21 days)","BEP/IFA","up","Beta-Alanine Metabolism",8,2,0.686,0.124,1
"Misame (14-21 days)","BEP/IFA","up","Arginine and Proline Metabolism",5,1,0.429,0.38,1
"Misame (14-21 days)","BEP/IFA","up","Pyrimidine Metabolism",5,1,0.429,0.38,1
"Misame (14-21 days)","BEP/IFA","up","Vitamin B6 Metabolism",8,1,0.686,0.553,1
"Misame (14-21 days)","IFA/BEP","down","Ubiquinone Biosynthesis",1,1,0.0286,0.0286,1
"Misame (14-21 days)","IFA/BEP","down","Taurine and Hypotaurine Metabolism",2,1,0.0571,0.0571,1
"Misame (14-21 days)","IFA/BEP","down","Steroid Biosynthesis",3,1,0.0857,0.0857,1
"Misame (14-21 days)","IFA/BEP","down","Oxidation of Branched Chain Fatty Acids",3,1,0.0857,0.0857,1
"Misame (14-21 days)","IFA/BEP","down","Bile Acid Biosynthesis",3,1,0.0857,0.0857,1
"Misame (14-21 days)","IFA/BEP","down","Nucleotide Sugars Metabolism",4,1,0.114,0.114,1
"Misame (14-21 days)","IFA/BEP","down","Galactose Metabolism",4,1,0.114,0.114,1
"Misame (14-21 days)","IFA/BEP","down","Arachidonic Acid Metabolism",4,1,0.114,0.114,1
"Misame (14-21 days)","IFA/BEP","down","Phytanic Acid Peroxisomal Oxidation",4,1,0.114,0.114,1
"Misame (14-21 days)","IFA/BEP","down","Phenylalanine and Tyrosine Metabolism",5,1,0.143,0.143,1
"Misame (14-21 days)","IFA/BEP","down","Porphyrin Metabolism",5,1,0.143,0.143,1
"Misame (14-21 days)","IFA/BEP","down","Lactose Synthesis",5,1,0.143,0.143,1
"Misame (14-21 days)","IFA/BEP","down","Purine Metabolism",7,1,0.2,0.2,1
"Misame (14-21 days)","IFA/BEP","down","Tyrosine Metabolism",8,1,0.229,0.229,1
"Misame (14-21 days)","IFA/BEP","up","Vitamin B6 Metabolism",8,5,2.97,0.103,1
"Misame (14-21 days)","IFA/BEP","up","Nicotinate and Nicotinamide Metabolism",7,4,2.6,0.214,1
"Misame (14-21 days)","IFA/BEP","up","Pantothenate and CoA Biosynthesis",3,2,1.11,0.306,1
"Misame (14-21 days)","IFA/BEP","up","Thiamine Metabolism",3,2,1.11,0.306,1
"Misame (14-21 days)","IFA/BEP","up","Homocysteine Degradation",1,1,0.371,0.371,1
"Misame (14-21 days)","IFA/BEP","up","Catecholamine Biosynthesis",2,1,0.743,0.612,1
"Misame (14-21 days)","IFA/BEP","up","Taurine and Hypotaurine Metabolism",2,1,0.743,0.612,1
"Misame (14-21 days)","IFA/BEP","up","Selenoamino Acid Metabolism",2,1,0.743,0.612,1
"Misame (14-21 days)","IFA/BEP","up","Glucose-Alanine Cycle",2,1,0.743,0.612,1
"Misame (14-21 days)","IFA/BEP","up","Carnitine Synthesis",2,1,0.743,0.612,1
"Misame (14-21 days)","IFA/BEP","up","Arginine and Proline Metabolism",5,2,1.86,0.626,1
"Misame (14-21 days)","IFA/BEP","up","Beta-Alanine Metabolism",8,3,2.97,0.645,1
"Misame (14-21 days)","IFA/BEP","up","Valine, Leucine and Isoleucine Degradation",6,2,2.23,0.743,1
"Misame (14-21 days)","IFA/BEP","up","Cysteine Metabolism",3,1,1.11,0.765,1
"Misame (14-21 days)","IFA/BEP","up","Malate-Aspartate Shuttle",3,1,1.11,0.765,1
"Misame (14-21 days)","IFA/BEP","up","Spermidine and Spermine Biosynthesis",3,1,1.11,0.765,1
"Misame (14-21 days)","IFA/BEP","up","Riboflavin Metabolism",7,2,2.6,0.83,1
"Misame (14-21 days)","IFA/BEP","up","Sphingolipid Metabolism",4,1,1.49,0.86,1
"Misame (14-21 days)","IFA/BEP","up","Lysine Degradation",4,1,1.49,0.86,1
"Misame (14-21 days)","IFA/BEP","up","Alanine Metabolism",4,1,1.49,0.86,1
"Misame (14-21 days)","IFA/BEP","up","Starch and Sucrose Metabolism",4,1,1.49,0.86,1
"Misame (14-21 days)","IFA/BEP","up","Urea Cycle",4,1,1.49,0.86,1
"Misame (14-21 days)","IFA/BEP","up","Tryptophan Metabolism",4,1,1.49,0.86,1
"Misame (14-21 days)","IFA/BEP","up","Aspartate Metabolism",4,1,1.49,0.86,1
"Misame (14-21 days)","IFA/BEP","up","Glycine and Serine Metabolism",5,1,1.86,0.919,1
"Misame (14-21 days)","IFA/BEP","up","Phenylalanine and Tyrosine Metabolism",5,1,1.86,0.919,1
"Misame (14-21 days)","IFA/BEP","up","Ammonia Recycling",5,1,1.86,0.919,1
"Misame (14-21 days)","IFA/BEP","up","Porphyrin Metabolism",5,1,1.86,0.919,1
"Misame (14-21 days)","IFA/BEP","up","Pyrimidine Metabolism",5,1,1.86,0.919,1
"Misame (14-21 days)","IFA/BEP","up","Folate Metabolism",5,1,1.86,0.919,1
"Misame (14-21 days)","IFA/BEP","up","Threonine and 2-Oxobutanoate Degradation",5,1,1.86,0.919,1
"Misame (14-21 days)","IFA/BEP","up","Propanoate Metabolism",6,1,2.23,0.954,1
"Misame (14-21 days)","IFA/BEP","up","Methionine Metabolism",6,1,2.23,0.954,1
"Misame (14-21 days)","IFA/BEP","up","Glutamate Metabolism",6,1,2.23,0.954,1
"Misame (14-21 days)","IFA/BEP","up","Histidine Metabolism",7,1,2.6,0.975,1
"Misame (14-21 days)","IFA/BEP","up","Tyrosine Metabolism",8,1,2.97,0.986,1
"Misame (1-2 mo.)","BEP/BEP","down","Degradation of Superoxides",3,2,0.343,0.029,1
"Misame (1-2 mo.)","BEP/BEP","down","Transfer of Acetyl Groups into Mitochondria",4,2,0.457,0.0557,1
"Misame (1-2 mo.)","BEP/BEP","down","Propanoate Metabolism",6,2,0.686,0.128,1
"Misame (1-2 mo.)","BEP/BEP","down","Citric Acid Cycle",6,2,0.686,0.128,1
"Misame (1-2 mo.)","BEP/BEP","down","Histidine Metabolism",7,2,0.8,0.171,1
"Misame (1-2 mo.)","BEP/BEP","down","Warburg Effect",7,2,0.8,0.171,1
"Misame (1-2 mo.)","BEP/BEP","down","Pyruvate Metabolism",8,2,0.914,0.218,1
"Misame (1-2 mo.)","BEP/BEP","down","Catecholamine Biosynthesis",2,1,0.229,0.218,1
"Misame (1-2 mo.)","BEP/BEP","down","Fatty Acid Biosynthesis",2,1,0.229,0.218,1
"Misame (1-2 mo.)","BEP/BEP","down","Oxidation of Branched Chain Fatty Acids",3,1,0.343,0.313,1
"Misame (1-2 mo.)","BEP/BEP","down","Thiamine Metabolism",3,1,0.343,0.313,1
"Misame (1-2 mo.)","BEP/BEP","down","Phosphatidylinositol Phosphate Metabolism",3,1,0.343,0.313,1
"Misame (1-2 mo.)","BEP/BEP","down","Inositol Metabolism",4,1,0.457,0.399,1
"Misame (1-2 mo.)","BEP/BEP","down","Lysine Degradation",4,1,0.457,0.399,1
"Misame (1-2 mo.)","BEP/BEP","down","Alanine Metabolism",4,1,0.457,0.399,1
"Misame (1-2 mo.)","BEP/BEP","down","Urea Cycle",4,1,0.457,0.399,1
"Misame (1-2 mo.)","BEP/BEP","down","Gluconeogenesis",4,1,0.457,0.399,1
"Misame (1-2 mo.)","BEP/BEP","down","Phytanic Acid Peroxisomal Oxidation",4,1,0.457,0.399,1
"Misame (1-2 mo.)","BEP/BEP","down","Arginine and Proline Metabolism",5,1,0.571,0.477,1
"Misame (1-2 mo.)","BEP/BEP","down","Phospholipid Biosynthesis",5,1,0.571,0.477,1
"Misame (1-2 mo.)","BEP/BEP","down","Lactose Synthesis",5,1,0.571,0.477,1
"Misame (1-2 mo.)","BEP/BEP","down","Threonine and 2-Oxobutanoate Degradation",5,1,0.571,0.477,1
"Misame (1-2 mo.)","BEP/BEP","down","Valine, Leucine and Isoleucine Degradation",6,1,0.686,0.546,1
"Misame (1-2 mo.)","BEP/BEP","down","Riboflavin Metabolism",7,1,0.8,0.609,1
"Misame (1-2 mo.)","BEP/BEP","down","Tyrosine Metabolism",8,1,0.914,0.665,1
"Misame (1-2 mo.)","BEP/BEP","down","Beta-Alanine Metabolism",8,1,0.914,0.665,1
"Misame (1-2 mo.)","BEP/BEP","up","Pantothenate and CoA Biosynthesis",3,2,0.857,0.19,1
"Misame (1-2 mo.)","BEP/BEP","up","Nicotinate and Nicotinamide Metabolism",7,3,2,0.31,1
"Misame (1-2 mo.)","BEP/BEP","up","Vitamin B6 Metabolism",8,3,2.29,0.411,1
"Misame (1-2 mo.)","BEP/BEP","up","Lactose Degradation",2,1,0.571,0.496,1
"Misame (1-2 mo.)","BEP/BEP","up","Trehalose Degradation",2,1,0.571,0.496,1
"Misame (1-2 mo.)","BEP/BEP","up","Glycolysis",3,1,0.857,0.649,1
"Misame (1-2 mo.)","BEP/BEP","up","Thiamine Metabolism",3,1,0.857,0.649,1
"Misame (1-2 mo.)","BEP/BEP","up","Spermidine and Spermine Biosynthesis",3,1,0.857,0.649,1
"Misame (1-2 mo.)","BEP/BEP","up","Riboflavin Metabolism",7,2,2,0.665,1
"Misame (1-2 mo.)","BEP/BEP","up","Beta-Alanine Metabolism",8,2,2.29,0.75,1
"Misame (1-2 mo.)","BEP/BEP","up","Arginine and Proline Metabolism",5,1,1.43,0.836,1
"Misame (1-2 mo.)","BEP/BEP","up","Pyrimidine Metabolism",5,1,1.43,0.836,1
"Misame (1-2 mo.)","BEP/BEP","up","Betaine Metabolism",5,1,1.43,0.836,1
"Misame (1-2 mo.)","BEP/BEP","up","Valine, Leucine and Isoleucine Degradation",6,1,1.71,0.891,1
"Misame (1-2 mo.)","BEP/BEP","up","Methionine Metabolism",6,1,1.71,0.891,1
"Misame (1-2 mo.)","BEP/BEP","up","Purine Metabolism",7,1,2,0.929,1
"Misame (1-2 mo.)","BEP/BEP","up","Warburg Effect",7,1,2,0.929,1
"Misame (1-2 mo.)","BEP/BEP","up","Pyruvate Metabolism",8,1,2.29,0.954,1
"Misame (1-2 mo.)","BEP/IFA","down","Propanoate Metabolism",6,4,0.857,0.00136,0.0666
"Misame (1-2 mo.)","BEP/IFA","down","Citric Acid Cycle",6,4,0.857,0.00136,0.0666
"Misame (1-2 mo.)","BEP/IFA","down","Warburg Effect",7,4,1,0.00308,0.0839
"Misame (1-2 mo.)","BEP/IFA","down","Lysine Degradation",4,3,0.571,0.00583,0.0839
"Misame (1-2 mo.)","BEP/IFA","down","Tryptophan Metabolism",4,3,0.571,0.00583,0.0839
"Misame (1-2 mo.)","BEP/IFA","down","Transfer of Acetyl Groups into Mitochondria",4,3,0.571,0.00583,0.0839
"Misame (1-2 mo.)","BEP/IFA","down","Pyruvate Metabolism",8,4,1.14,0.00599,0.0839
"Misame (1-2 mo.)","BEP/IFA","down","Arginine and Proline Metabolism",5,3,0.714,0.0139,0.11
"Misame (1-2 mo.)","BEP/IFA","down","Phospholipid Biosynthesis",5,3,0.714,0.0139,0.11
"Misame (1-2 mo.)","BEP/IFA","down","Threonine and 2-Oxobutanoate Degradation",5,3,0.714,0.0139,0.11
"Misame (1-2 mo.)","BEP/IFA","down","Caffeine Metabolism",2,2,0.286,0.0168,0.11
"Misame (1-2 mo.)","BEP/IFA","down","Glycerolipid Metabolism",2,2,0.286,0.0168,0.11
"Misame (1-2 mo.)","BEP/IFA","down","Glycerol Phosphate Shuttle",2,2,0.286,0.0168,0.11
"Misame (1-2 mo.)","BEP/IFA","down","Mitochondrial Electron Transport Chain",2,2,0.286,0.0168,0.11
"Misame (1-2 mo.)","BEP/IFA","down","Mitochondrial Beta-Oxidation of Short Chain Saturated Fatty Acids",2,2,0.286,0.0168,0.11
