"study","contrast","direction","pathway","feature"
"Vital (1.5 mo.)","BEP+ExBf+AZT","combined","Beta-Alanine Metabolism","Pantothenic acid"
"Vital (1.5 mo.)","BEP+ExBf+AZT","combined","Phospholipid Biosynthesis","FAD"
"Vital (1.5 mo.)","BEP+ExBf+AZT","combined","Pantothenate and CoA Biosynthesis","Pantothenic acid"
"Vital (1.5 mo.)","BEP+ExBf+AZT","combined","Nicotinate and Nicotinamide Metabolism","Niacinamide"
"Vital (1.5 mo.)","BEP+ExBf+AZT","combined","Nicotinate and Nicotinamide Metabolism","N1-Methyl-2-pyridone-5-carboxamide"
"Vital (1.5 mo.)","BEP+ExBf+AZT","combined","Nicotinate and Nicotinamide Metabolism","Nicotinic acid mononucleotide"
"Vital (1.5 mo.)","BEP+ExBf+AZT","combined","Citric Acid Cycle","FAD"
"Vital (1.5 mo.)","BEP+ExBf+AZT","combined","Biotin Metabolism","Biotin"
"Vital (1.5 mo.)","BEP+ExBf+AZT","combined","Riboflavin Metabolism","Flavin Mononucleotide"
"Vital (1.5 mo.)","BEP+ExBf+AZT","combined","Retinol Metabolism","Vitamin A"
"Vital (1.5 mo.)","BEP+ExBf+AZT","combined","Thiamine Metabolism","Thiamine"
"Vital (1.5 mo.)","BEP+ExBf+AZT","combined","Warburg Effect","FAD"
