ID,Description,gene_ratio,fold_enrichment,p_value,fdr,study,timepoint,contrast,regulation
GO:0019362,pyridine nucleotide metabolic process,17/132,-4.58953168044077,1.90741881997789e-8,1.639426475771e-5,Mumta-LW,2 mo.,BEP+ExBf,Downregulated
GO:0046496,nicotinamide nucleotide metabolic process,17/132,-4.58953168044077,1.90741881997789e-8,1.639426475771e-5,Mumta-LW,2 mo.,BEP+ExBf,Downregulated
GO:0072524,pyridine-containing compound metabolic process,17/132,-4.38998682476943,4.19927508843777e-8,2.40618462567484e-5,Mumta-LW,2 mo.,BEP+ExBf,Downregulated
GO:0009117,nucleotide metabolic process,22/132,-3.03875968992248,7.17071629744789e-7,3.0816153288282e-4,Mumta-LW,2 mo.,BEP+ExBf,Downregulated
GO:0006278,RNA-templated DNA biosynthetic process,9/179,-5.51701371254444,1.21972926614852e-6,9.806623299834e-4,MISAME-III,1-2 mo.,BEP,Downregulated
GO:0007004,telomere maintenance via telomerase,9/179,-5.51701371254444,1.21972926614852e-6,9.806623299834e-4,MISAME-III,1-2 mo.,BEP,Downregulated
GO:0006163,purine nucleotide metabolic process,20/132,-3.12599681020734,1.51000550691156e-6,5.1913989327619e-4,Mumta-LW,2 mo.,BEP+ExBf,Downregulated
GO:0000723,telomere maintenance,10/179,-4.81644054269753,2.39065118531702e-6,0.00128138903532992,MISAME-III,1-2 mo.,BEP,Downregulated
GO:0006139,nucleobase-containing compound metabolic process,56/132,-1.69265170791888,3.68030643716694e-6,0.00105032320817337,Mumta-LW,2 mo.,BEP+ExBf,Downregulated
GO:0010833,telomere maintenance via telomere lengthening,9/179,-5.0572625698324,4.25675167715569e-6,0.0016109489355049,MISAME-III,1-2 mo.,BEP,Downregulated
GO:0006091,generation of precursor metabolites and energy,17/132,-3.31048186785892,4.27705785759953e-6,0.00105032320817337,Mumta-LW,2 mo.,BEP+ExBf,Downregulated
GO:0032210,regulation of telomere maintenance via telomerase,8/179,-5.39441340782123,7.01283740580493e-6,0.0016109489355049,MISAME-III,1-2 mo.,BEP,Downregulated
GO:0032212,positive regulation of telomere maintenance via telomerase,8/179,-5.39441340782123,7.01283740580493e-6,0.0016109489355049,MISAME-III,1-2 mo.,BEP,Downregulated
GO:2000573,positive regulation of DNA biosynthetic process,8/179,-5.39441340782123,7.01283740580493e-6,0.0016109489355049,MISAME-III,1-2 mo.,BEP,Downregulated
GO:0009166,nucleotide catabolic process,11/132,-4.50574712643678,9.29105261617286e-6,0.00156144318852456,Mumta-LW,2 mo.,BEP+ExBf,Downregulated
GO:0032204,regulation of telomere maintenance,9/179,-4.66824237215299,1.20716838226344e-5,0.00194112675867961,MISAME-III,1-2 mo.,BEP,Downregulated
GO:0032206,positive regulation of telomere maintenance,9/179,-4.66824237215299,1.20716838226344e-5,0.00194112675867961,MISAME-III,1-2 mo.,BEP,Downregulated
GO:2001252,positive regulation of chromosome organization,9/179,-4.66824237215299,1.20716838226344e-5,0.00194112675867961,MISAME-III,1-2 mo.,BEP,Downregulated
GO:0006096,glycolytic process,9/132,-5.34545454545455,1.22948826306536e-5,0.00156144318852456,Mumta-LW,2 mo.,BEP+ExBf,Downregulated
GO:0009137,purine nucleoside diphosphate catabolic process,9/132,-5.34545454545455,1.22948826306536e-5,0.00156144318852456,Mumta-LW,2 mo.,BEP+ExBf,Downregulated
GO:0009181,purine ribonucleoside diphosphate catabolic process,9/132,-5.34545454545455,1.22948826306536e-5,0.00156144318852456,Mumta-LW,2 mo.,BEP+ExBf,Downregulated
GO:0019364,pyridine nucleotide catabolic process,9/132,-5.34545454545455,1.22948826306536e-5,0.00156144318852456,Mumta-LW,2 mo.,BEP+ExBf,Downregulated
GO:0046032,ADP catabolic process,9/132,-5.34545454545455,1.22948826306536e-5,0.00156144318852456,Mumta-LW,2 mo.,BEP+ExBf,Downregulated
GO:0072521,purine-containing compound metabolic process,22/132,-2.58745874587459,1.32742511173888e-5,0.00156144318852456,Mumta-LW,2 mo.,BEP+ExBf,Downregulated
GO:0006006,glucose metabolic process,11/132,-4.35555555555556,1.36251587131288e-5,0.00156144318852456,Mumta-LW,2 mo.,BEP+ExBf,Downregulated
GO:0032200,telomere organization,10/179,-4.21438547486034,1.45409034762562e-5,0.00212561570816546,MISAME-III,1-2 mo.,BEP,Downregulated
GO:0055086,nucleobase-containing small molecule metabolic process,25/132,-2.37575757575758,1.58276330077019e-5,0.00156213649677431,Mumta-LW,2 mo.,BEP+ExBf,Downregulated
GO:0005996,monosaccharide metabolic process,14/132,-3.46464646464647,1.8287005434276e-5,0.00156213649677431,Mumta-LW,2 mo.,BEP+ExBf,Downregulated
GO:0009135,purine nucleoside diphosphate metabolic process,9/132,-5.09090909090909,1.99924391675596e-5,0.00156213649677431,Mumta-LW,2 mo.,BEP+ExBf,Downregulated
GO:0009179,purine ribonucleoside diphosphate metabolic process,9/132,-5.09090909090909,1.99924391675596e-5,0.00156213649677431,Mumta-LW,2 mo.,BEP+ExBf,Downregulated
GO:0009191,ribonucleoside diphosphate catabolic process,9/132,-5.09090909090909,1.99924391675596e-5,0.00156213649677431,Mumta-LW,2 mo.,BEP+ExBf,Downregulated
GO:0046031,ADP metabolic process,9/132,-5.09090909090909,1.99924391675596e-5,0.00156213649677431,Mumta-LW,2 mo.,BEP+ExBf,Downregulated
GO:0072526,pyridine-containing compound catabolic process,9/132,-5.09090909090909,1.99924391675596e-5,0.00156213649677431,Mumta-LW,2 mo.,BEP+ExBf,Downregulated
GO:1904356,regulation of telomere maintenance via telomere lengthening,8/179,-4.90401218892839,2.2461125778222e-5,0.0025798207322415,MISAME-III,1-2 mo.,BEP,Downregulated
GO:1904358,positive regulation of telomere maintenance via telomere lengthening,8/179,-4.90401218892839,2.2461125778222e-5,0.0025798207322415,MISAME-III,1-2 mo.,BEP,Downregulated
GO:2000278,regulation of DNA biosynthetic process,8/179,-4.90401218892839,2.2461125778222e-5,0.0025798207322415,MISAME-III,1-2 mo.,BEP,Downregulated
GO:0019318,hexose metabolic process,13/132,-3.59126145172657,2.42643570942457e-5,0.00181349694978297,Mumta-LW,2 mo.,BEP+ExBf,Downregulated
GO:0061077,chaperone-mediated protein folding,12/179,-3.51809570075298,2.43061516069112e-5,0.00260561945226088,MISAME-III,1-2 mo.,BEP,Downregulated
GO:0006753,nucleoside phosphate metabolic process,24/132,-2.35612321562735,2.80335980623977e-5,0.00200790646121924,Mumta-LW,2 mo.,BEP+ExBf,Downregulated
GO:0033044,regulation of chromosome organization,9/179,-4.33479648842777,2.94975425698056e-5,0.00279012049719102,MISAME-III,1-2 mo.,BEP,Downregulated
GO:0071897,DNA biosynthetic process,9/179,-4.33479648842777,2.94975425698056e-5,0.00279012049719102,MISAME-III,1-2 mo.,BEP,Downregulated
GO:0009134,nucleoside diphosphate catabolic process,9/132,-4.85950413223141,3.1438301167442e-5,0.00216169758827331,Mumta-LW,2 mo.,BEP+ExBf,Downregulated
GO:1901292,nucleoside phosphate catabolic process,11/132,-3.95959595959596,3.86758150303957e-5,0.00255706638604809,Mumta-LW,2 mo.,BEP+ExBf,Downregulated
GO:0046434,organophosphate catabolic process,13/132,-3.43164983164983,4.17662102380709e-5,0.00265911538515718,Mumta-LW,2 mo.,BEP+ExBf,Downregulated
GO:0006090,pyruvate metabolic process,9/132,-4.64822134387352,4.79936585768084e-5,0.00284486548598392,Mumta-LW,2 mo.,BEP+ExBf,Downregulated
GO:0009185,ribonucleoside diphosphate metabolic process,9/132,-4.64822134387352,4.79936585768084e-5,0.00284486548598392,Mumta-LW,2 mo.,BEP+ExBf,Downregulated
GO:0051054,positive regulation of DNA metabolic process,11/179,-3.53205639797819,5.20094225298702e-5,0.00464617507933507,MISAME-III,1-2 mo.,BEP,Downregulated
GO:0009154,purine ribonucleotide catabolic process,9/132,-4.45454545454545,7.13576076353079e-5,0.00408879091750314,Mumta-LW,2 mo.,BEP+ExBf,Downregulated
GO:0006412,translation,37/179,-1.79490374181102,8.0533693299046e-5,0.00681569362236137,MISAME-III,1-2 mo.,BEP,Downregulated
GO:0046034,ATP metabolic process,10/132,-3.95959595959596,8.91345235416519e-5,0.00468706432029961,Mumta-LW,2 mo.,BEP+ExBf,Downregulated
GO:0009199,ribonucleoside triphosphate metabolic process,11/132,-3.62962962962963,9.62024564298402e-5,0.00468706432029961,Mumta-LW,2 mo.,BEP+ExBf,Downregulated
GO:0009205,purine ribonucleoside triphosphate metabolic process,11/132,-3.62962962962963,9.62024564298402e-5,0.00468706432029961,Mumta-LW,2 mo.,BEP+ExBf,Downregulated
GO:0010951,negative regulation of endopeptidase activity,5/27,9.71819645732689,9.72385065664842e-5,0.0555724568726179,MISAME-III,1-2 mo.,BEP,Upregulated
GO:0006919,activation of cysteine-type endopeptidase activity involved in apoptotic process,6/132,-6.47933884297521,1.0348149565835e-4,0.00468706432029961,Mumta-LW,2 mo.,BEP+ExBf,Downregulated
GO:0006195,purine nucleotide catabolic process,9/132,-4.27636363636364,1.0361166036729e-4,0.00468706432029961,Mumta-LW,2 mo.,BEP+ExBf,Downregulated
GO:0009132,nucleoside diphosphate metabolic process,9/132,-4.27636363636364,1.0361166036729e-4,0.00468706432029961,Mumta-LW,2 mo.,BEP+ExBf,Downregulated
GO:0009261,ribonucleotide catabolic process,9/132,-4.27636363636364,1.0361166036729e-4,0.00468706432029961,Mumta-LW,2 mo.,BEP+ExBf,Downregulated
GO:0072523,purine-containing compound catabolic process,9/132,-4.27636363636364,1.0361166036729e-4,0.00468706432029961,Mumta-LW,2 mo.,BEP+ExBf,Downregulated
GO:0009144,purine nucleoside triphosphate metabolic process,11/132,-3.53153153153153,1.2715940949808e-4,0.00560479551095399,Mumta-LW,2 mo.,BEP+ExBf,Downregulated
GO:0010466,negative regulation of peptidase activity,6/27,6.87749287749288,1.3789691531667e-4,0.0555724568726179,MISAME-III,1-2 mo.,BEP,Upregulated
GO:0016052,carbohydrate catabolic process,12/132,-3.2396694214876,1.5623600232952e-4,0.0067142422001114,Mumta-LW,2 mo.,BEP+ExBf,Downregulated
GO:0019693,ribose phosphate metabolic process,14/132,-2.86729362591432,1.8339651126538e-4,0.00768923421622421,Mumta-LW,2 mo.,BEP+ExBf,Downregulated
GO:0009150,purine ribonucleotide metabolic process,13/132,-2.96969696969697,2.1635925103845e-4,0.00885527506035966,Mumta-LW,2 mo.,BEP+ExBf,Downregulated
GO:0005975,carbohydrate metabolic process,20/132,-2.28438228438228,2.2631429583663e-4,0.00904730871030641,Mumta-LW,2 mo.,BEP+ExBf,Downregulated
GO:0006458,'de novo' protein folding,9/179,-3.56983240223464,2.3825120811567e-4,0.0191553971325002,MISAME-III,1-2 mo.,BEP,Downregulated
GO:0009141,nucleoside triphosphate metabolic process,11/132,-3.26666666666667,2.7552992001962e-4,0.0107644530116757,Mumta-LW,2 mo.,BEP+ExBf,Downregulated
GO:0035036,sperm-egg recognition,7/179,-4.29101066531234,2.7562893304421e-4,0.0211053011588142,MISAME-III,1-2 mo.,BEP,Downregulated
GO:0009259,ribonucleotide metabolic process,13/132,-2.85970819304153,3.2560650635711e-4,0.0124381685428419,Mumta-LW,2 mo.,BEP+ExBf,Downregulated
GO:0022613,ribonucleoprotein complex biogenesis,19/179,-2.20891928337507,3.3490034462158e-4,0.0244781706432505,MISAME-III,1-2 mo.,BEP,Downregulated
GO:0046364,monosaccharide biosynthetic process,7/132,-4.61952861952862,3.7078902994135e-4,0.0138562248362865,Mumta-LW,2 mo.,BEP+ExBf,Downregulated
GO:0042594,response to starvation,11/179,-2.96692737430168,3.7973741684503e-4,0.0265485985342096,MISAME-III,1-2 mo.,BEP,Downregulated
GO:0019219,regulation of nucleobase-containing compound metabolic process,32/132,-1.78460662967705,3.8583967860272e-4,0.0141118810110229,Mumta-LW,2 mo.,BEP+ExBf,Downregulated
GO:0034654,nucleobase-containing compound biosynthetic process,40/132,-1.63845350052247,3.9923982292498e-4,0.0142977761585011,Mumta-LW,2 mo.,BEP+ExBf,Downregulated
GO:0051346,negative regulation of hydrolase activity,6/27,5.58796296296296,4.5186234250605e-4,0.121400349353293,MISAME-III,1-2 mo.,BEP,Upregulated
GO:0006641,triglyceride metabolic process,7/130,4.44372469635627,4.9671188202428e-4,0.150485801870139,Mumta-LW,2 mo.,BEP+ExBf,Upregulated
GO:0010883,regulation of lipid storage,6/130,5.16923076923077,4.9949308644393e-4,0.150485801870139,Mumta-LW,2 mo.,BEP+ExBf,Upregulated
GO:0009165,nucleotide biosynthetic process,11/179,-2.85281478298238,5.7398068104905e-4,0.0369184374050755,MISAME-III,1-2 mo.,BEP,Downregulated
