"study","contrast","direction","pathway","total","hits","expected","raw_p","fdr"
"Misame (3-4 mo.)","BEP","down","Glycine and Serine Metabolism",13,4,0.275,7.78e-05,0.00763
"Misame (3-4 mo.)","BEP","down","Methionine Metabolism",11,3,0.233,0.00111,0.04
"Misame (3-4 mo.)","BEP","down","Homocysteine Degradation",3,2,0.0634,0.00122,0.04
"Misame (3-4 mo.)","BEP","down","Alpha Linolenic Acid and Linoleic Acid Metabolism",5,2,0.106,0.00398,0.0976
"Misame (3-4 mo.)","BEP","down","Pantothenate and CoA Biosynthesis",1,1,0.0211,0.0211,0.414
"Misame (3-4 mo.)","BEP","down","Cysteine Metabolism",2,1,0.0423,0.0419,0.586
"Misame (3-4 mo.)","BEP","down","Taurine and Hypotaurine Metabolism",2,1,0.0423,0.0419,0.586
"Misame (3-4 mo.)","BEP","down","Phenylalanine and Tyrosine Metabolism",3,1,0.0634,0.0622,0.671
"Misame (3-4 mo.)","BEP","down","Catecholamine Biosynthesis",4,1,0.0846,0.0821,0.671
"Misame (3-4 mo.)","BEP","down","Glutathione Metabolism",4,1,0.0846,0.0821,0.671
"Misame (3-4 mo.)","BEP","down","Arachidonic Acid Metabolism",4,1,0.0846,0.0821,0.671
"Misame (3-4 mo.)","BEP","down","Betaine Metabolism",4,1,0.0846,0.0821,0.671
"Misame (3-4 mo.)","BEP","down","Spermidine and Spermine Biosynthesis",5,1,0.106,0.102,0.766
"Misame (3-4 mo.)","BEP","down","Urea Cycle",7,1,0.148,0.14,0.977
"Misame (3-4 mo.)","BEP","down","Glutamate Metabolism",8,1,0.169,0.158,1
"Misame (3-4 mo.)","BEP","down","Arginine and Proline Metabolism",10,1,0.211,0.194,1
