"outcome_group","arm_set","study","studytime","direction","contrast","module","pathway","total","hits","expected","raw_p","fdr_native","fdr_bh_pooled","significant","hit_features"
"tertiary","combined","Elicit","1 mo.","up","Nico","ora","Mitochondrial Beta-Oxidation of Long Chain Saturated Fatty Acids",3,1,0.0195,0.0194,1,0.0654274509803922,FALSE,"Stearoylcarnitine"
"tertiary","combined","Elicit","1 mo.","up","Nico","ora","Bile Acid Biosynthesis",15,1,0.0976,0.0943,1,0.119261764705882,FALSE,"Glycocholic acid"
"tertiary","combined","Misame","1-2 mo.","up","BEP","ora","Bile Acid Biosynthesis",15,2,0.0976,0.00324,0.318,0.02795,FALSE,"Taurine; Cholic acid"
"tertiary","combined","Misame","1-2 mo.","up","BEP","ora","Taurine and Hypotaurine Metabolism",2,1,0.013,0.013,0.424,0.0588421052631579,FALSE,"Taurine"
"tertiary","combined","Misame","1-2 mo.","up","BEP","ora","Pyrimidine Metabolism",2,1,0.013,0.013,0.424,0.0588421052631579,FALSE,"beta-Alanine"
"tertiary","combined","Misame","1-2 mo.","up","BEP","ora","Propanoate Metabolism",3,1,0.0195,0.0194,0.476,0.0654274509803922,FALSE,"beta-Alanine"
"tertiary","combined","Misame","1-2 mo.","up","BEP","ora","Beta-Alanine Metabolism",7,1,0.0455,0.0449,0.716,0.0858088888888889,FALSE,"beta-Alanine"
"tertiary","combined","Misame","1-2 mo.","up","BEP","ora","Histidine Metabolism",8,1,0.052,0.0511,0.716,0.0869555555555556,FALSE,"beta-Alanine"
"tertiary","combined","Misame","1-2 mo.","up","BEP","ora","Aspartate Metabolism",8,1,0.052,0.0511,0.716,0.0869555555555556,FALSE,"beta-Alanine"
"tertiary","combined","Misame","14-21 days","up","BEP","ora","Nucleotide Sugars Metabolism",1,1,0.00163,0.00163,0.159,0.0215661538461538,FALSE,"D-Galactose"
"tertiary","combined","Misame","14-21 days","up","BEP","ora","Lactose Degradation",2,1,0.00325,0.00325,0.159,0.02795,FALSE,"D-Galactose"
"tertiary","combined","Misame","14-21 days","up","BEP","ora","Galactose Metabolism",5,1,0.00813,0.00813,0.266,0.0484565517241379,FALSE,"D-Galactose"
"tertiary","combined","Misame","14-21 days","up","BEP","ora","Sphingolipid Metabolism",7,1,0.0114,0.0114,0.279,0.0581764705882353,FALSE,"D-Galactose"
"tertiary","combined","Misame","3-4 mo.","up","BEP","ora","Tryptophan Metabolism",6,1,0.0195,0.0194,1,0.0654274509803922,FALSE,"Indoleacetic acid"
"tertiary","combined","Vital","1.5 mo.","up","BEP","ora","Ammonia Recycling",7,2,0.125,0.00582,0.251,0.0400416,FALSE,"Histidine; Glutamine"
"tertiary","combined","Vital","1.5 mo.","up","BEP","ora","Urea Cycle",7,2,0.125,0.00582,0.251,0.0400416,FALSE,"L-Alanine; Glutamine"
"tertiary","combined","Vital","1.5 mo.","up","BEP","ora","Glutamate Metabolism",8,2,0.143,0.00769,0.251,0.0484565517241379,FALSE,"L-Alanine; Glutamine"
"tertiary","combined","Vital","1.5 mo.","up","BEP","ora","Phenylacetate Metabolism",1,1,0.0179,0.0179,0.351,0.0654274509803922,FALSE,"Glutamine"
"tertiary","combined","Vital","1.5 mo.","up","BEP","ora","Thyroid hormone synthesis",1,1,0.0179,0.0179,0.351,0.0654274509803922,FALSE,"L-Tyrosine"
"tertiary","combined","Vital","1.5 mo.","up","BEP","ora","Selenoamino Acid Metabolism",2,1,0.0358,0.0355,0.386,0.0799688311688312,FALSE,"L-Alanine"
"tertiary","combined","Vital","1.5 mo.","up","BEP","ora","Pyrimidine Metabolism",2,1,0.0358,0.0355,0.386,0.0799688311688312,FALSE,"Glutamine"
"tertiary","combined","Vital","1.5 mo.","up","BEP","ora","Nicotinate and Nicotinamide Metabolism",2,1,0.0358,0.0355,0.386,0.0799688311688312,FALSE,"Glutamine"
"tertiary","combined","Vital","1.5 mo.","up","BEP","ora","Methylhistidine Metabolism",2,1,0.0358,0.0355,0.386,0.0799688311688312,FALSE,"Histidine"
"tertiary","combined","Vital","1.5 mo.","up","BEP","ora","Phenylalanine and Tyrosine Metabolism",3,1,0.0537,0.0528,0.398,0.0869555555555556,FALSE,"L-Tyrosine"
"tertiary","combined","Vital","1.5 mo.","up","BEP","ora","Amino Sugar Metabolism",3,1,0.0537,0.0528,0.398,0.0869555555555556,FALSE,"Glutamine"
"tertiary","combined","Vital","1.5 mo.","up","BEP","ora","Alanine Metabolism",3,1,0.0537,0.0528,0.398,0.0869555555555556,FALSE,"L-Alanine"
"tertiary","combined","Vital","1.5 mo.","up","BEP","ora","Glucose-Alanine Cycle",3,1,0.0537,0.0528,0.398,0.0869555555555556,FALSE,"L-Alanine"
"tertiary","combined","Vital","1.5 mo.","up","BEP","ora","Catecholamine Biosynthesis",4,1,0.0715,0.0698,0.456,0.0999305785123967,FALSE,"L-Tyrosine"
"tertiary","combined","Vital","1.5 mo.","up","BEP","ora","Glutathione Metabolism",4,1,0.0715,0.0698,0.456,0.0999305785123967,FALSE,"L-Alanine"
"tertiary","combined","Vital","1.5 mo.","up","BEP","ora","Tyrosine Metabolism",5,1,0.0894,0.0866,0.499,0.111993984962406,FALSE,"L-Tyrosine"
"tertiary","combined","Vital","1.5 mo.","up","BEP","ora","Warburg Effect",5,1,0.0894,0.0866,0.499,0.111993984962406,FALSE,"Glutamine"
"tertiary","combined","Vital","1.5 mo.","up","BEP","ora","Purine Metabolism",6,1,0.107,0.103,0.531,0.124027210884354,FALSE,"Glutamine"
"tertiary","combined","Vital","1.5 mo.","up","BEP","ora","Tryptophan Metabolism",6,1,0.107,0.103,0.531,0.124027210884354,FALSE,"L-Alanine"
"tertiary","combined","Vital","1.5 mo.","up","BEP","ora","Beta-Alanine Metabolism",7,1,0.125,0.119,0.584,0.138297297297297,FALSE,"Histidine"
"tertiary","combined","Vital","1.5 mo.","up","BEP","ora","Histidine Metabolism",8,1,0.143,0.135,0.602,0.149948717948718,FALSE,"Histidine"
"tertiary","combined","Vital","1.5 mo.","up","BEP","ora","Aspartate Metabolism",8,1,0.143,0.135,0.602,0.149948717948718,FALSE,"Glutamine"
"tertiary","combined","Vital","1.5 mo.","up","BEP","ora","Glycine and Serine Metabolism",13,1,0.233,0.211,0.899,0.214745562130178,FALSE,"L-Alanine"
"tertiary","combined","Vital","2 mo.","up","BEP","ora","Purine Metabolism",6,2,0.0683,0.00163,0.0985,0.0215661538461538,FALSE,"Xanthine; Glutamine"
"tertiary","combined","Vital","2 mo.","up","BEP","ora","Urea Cycle",7,2,0.0797,0.00227,0.0985,0.02494,FALSE,"L-Alanine; Glutamine"
"tertiary","combined","Vital","2 mo.","up","BEP","ora","Glutamate Metabolism",8,2,0.0911,0.00301,0.0985,0.02795,FALSE,"L-Alanine; Glutamine"
"tertiary","combined","Vital","2 mo.","up","BEP","ora","Phenylacetate Metabolism",1,1,0.0114,0.0114,0.279,0.0581764705882353,FALSE,"Glutamine"
