study,timepoint,contrast,direction,pathway,total,expected,hits,raw_p,fdr_native,enrichment_ratio
MISAME-III,14-21 days,BEP,down,Glycine and Serine Metabolism,13,0.359,5,9.67e-6,8.64e-4,-13.92757660167131
ELICIT,1 mo.,Nico,down,Oxidation of Branched Chain Fatty Acids,4,0.065,3,1.23e-5,0.00121,-46.15384615384615
MISAME-III,14-21 days,BEP,down,Homocysteine Degradation,3,0.0829,3,1.76e-5,8.64e-4,-36.18817852834741
MISAME-III,3-4 mo.,BEP,down,Glycine and Serine Metabolism,13,0.275,4,7.78e-5,0.00763,-14.545454545454545
Mumta-LW,2 mo.,BEP,down,Methionine Metabolism,11,0.143,3,2.28e-4,0.0191,-20.97902097902098
MISAME-III,1-2 mo.,BEP,down,Spermidine and Spermine Biosynthesis,5,0.179,3,3.81e-4,0.0373,-16.75977653631285
Mumta-LW,2 mo.,BEP,down,Glycine and Serine Metabolism,13,0.169,3,3.9e-4,0.0191,-17.75147928994083
Mumta-LW,2 mo.,BEP,down,Bile Acid Biosynthesis,15,0.195,3,6.13e-4,0.02,-15.384615384615383
ELICIT,1 mo.,Nico,down,Beta Oxidation of Very Long Chain Fatty Acids,3,0.0488,2,7.09e-4,0.0347,-40.983606557377044
MISAME-III,3-4 mo.,BEP,down,Methionine Metabolism,11,0.233,3,0.00111,0.04,-12.875536480686694
MISAME-III,3-4 mo.,BEP,down,Homocysteine Degradation,3,0.0634,2,0.00122,0.04,-31.545741324921135
MISAME-III,14-21 days,BEP,up,Nucleotide Sugars Metabolism,1,0.00163,1,0.00163,0.159,613.4969325153374
Mumta-LW,2 mo.,BEP,up,Purine Metabolism,6,0.0683,2,0.00163,0.0985,29.282576866764277
MISAME-III,14-21 days,BEP,down,Arginine and Proline Metabolism,10,0.276,3,0.00187,0.0612,-10.869565217391303
Mumta-LW,2 mo.,BEP,up,Urea Cycle,7,0.0797,2,0.00227,0.0985,25.094102885821833
ELICIT,1 mo.,Nico,down,Carnitine Synthesis,5,0.0813,2,0.00232,0.0758,-24.600246002460025
MISAME-III,14-21 days,BEP,down,Methionine Metabolism,11,0.304,3,0.00253,0.062,-9.868421052631579
Mumta-LW,2 mo.,BEP,up,Glutamate Metabolism,8,0.0911,2,0.00301,0.0985,21.95389681668496
MISAME-III,1-2 mo.,BEP,up,Bile Acid Biosynthesis,15,0.0976,2,0.00324,0.318,20.491803278688522
MISAME-III,14-21 days,BEP,up,Lactose Degradation,2,0.00325,1,0.00325,0.159,307.6923076923077
MISAME-III,3-4 mo.,BEP,down,Alpha Linolenic Acid and Linoleic Acid Metabolism,5,0.106,2,0.00398,0.0976,-18.867924528301888
MISAME-III,1-2 mo.,BEP,down,Methionine Metabolism,11,0.393,3,0.00546,0.225,-7.633587786259541
Mumta-LW,1.5 mo.,BEP,down,Methionine Metabolism,11,0.125,2,0.00582,0.4,-16
Mumta-LW,1.5 mo.,BEP,up,Ammonia Recycling,7,0.125,2,0.00582,0.251,16
Mumta-LW,1.5 mo.,BEP,up,Urea Cycle,7,0.125,2,0.00582,0.251,16
MISAME-III,14-21 days,BEP,down,Alpha Linolenic Acid and Linoleic Acid Metabolism,5,0.138,2,0.00686,0.134,-14.492753623188404
Mumta-LW,1.5 mo.,BEP,up,Glutamate Metabolism,8,0.143,2,0.00769,0.251,13.986013986013987
MISAME-III,14-21 days,BEP,up,Galactose Metabolism,5,0.00813,1,0.00813,0.266,123.00123001230013
Mumta-LW,1.5 mo.,BEP,down,Glycine and Serine Metabolism,13,0.148,2,0.00817,0.4,-13.513513513513514
MISAME-III,1-2 mo.,BEP,down,Glycine and Serine Metabolism,13,0.465,3,0.00902,0.225,-6.451612903225806
MISAME-III,14-21 days,BEP,up,Sphingolipid Metabolism,7,0.0114,1,0.0114,0.279,87.71929824561403
Mumta-LW,2 mo.,BEP,up,Phenylacetate Metabolism,1,0.0114,1,0.0114,0.279,87.71929824561403
MISAME-III,1-2 mo.,BEP,down,Alpha Linolenic Acid and Linoleic Acid Metabolism,5,0.179,2,0.0115,0.225,-11.1731843575419
MISAME-III,1-2 mo.,BEP,down,Warburg Effect,5,0.179,2,0.0115,0.225,-11.1731843575419
MISAME-III,1-2 mo.,BEP,up,Taurine and Hypotaurine Metabolism,2,0.013,1,0.013,0.424,76.92307692307692
MISAME-III,1-2 mo.,BEP,up,Pyrimidine Metabolism,2,0.013,1,0.013,0.424,76.92307692307692
Mumta-LW,2 mo.,BEP,down,Porphyrin Metabolism,1,0.013,1,0.013,0.319,-76.92307692307692
ELICIT,5 mo.,Nico,down,Malate-Aspartate Shuttle,2,0.013,1,0.013,0.557,-76.92307692307692
MISAME-III,14-21 days,BEP,down,Beta-Alanine Metabolism,7,0.193,2,0.0139,0.195,-10.362694300518134
MISAME-III,14-21 days,BEP,down,Ammonia Recycling,7,0.193,2,0.0139,0.195,-10.362694300518134
ELICIT,1 mo.,Nico,down,Ketone Body Metabolism,1,0.0163,1,0.0163,0.228,-61.34969325153375
ELICIT,1 mo.,Nico,down,Butyrate Metabolism,1,0.0163,1,0.0163,0.228,-61.34969325153375
ELICIT,1 mo.,Nico,down,Mitochondrial Electron Transport Chain,1,0.0163,1,0.0163,0.228,-61.34969325153375
ELICIT,1 mo.,Nico,down,Phytanic Acid Peroxisomal Oxidation,1,0.0163,1,0.0163,0.228,-61.34969325153375
Mumta-LW,1.5 mo.,BEP,up,Phenylacetate Metabolism,1,0.0179,1,0.0179,0.351,55.865921787709496
Mumta-LW,1.5 mo.,BEP,up,Thyroid hormone synthesis,1,0.0179,1,0.0179,0.351,55.865921787709496
MISAME-III,14-21 days,BEP,down,Histidine Metabolism,8,0.221,2,0.0183,0.199,-9.049773755656108
MISAME-III,14-21 days,BEP,down,Aspartate Metabolism,8,0.221,2,0.0183,0.199,-9.049773755656108
MISAME-III,1-2 mo.,BEP,up,Propanoate Metabolism,3,0.0195,1,0.0194,0.476,51.282051282051285
MISAME-III,3-4 mo.,BEP,up,Tryptophan Metabolism,6,0.0195,1,0.0194,1,51.282051282051285
ELICIT,1 mo.,Nico,up,Mitochondrial Beta-Oxidation of Long Chain Saturated Fatty Acids,3,0.0195,1,0.0194,1,51.282051282051285
MISAME-III,3-4 mo.,BEP,down,Pantothenate and CoA Biosynthesis,1,0.0211,1,0.0211,0.414,-47.39336492890995
Mumta-LW,2 mo.,BEP,up,Selenoamino Acid Metabolism,2,0.0228,1,0.0227,0.317,43.859649122807014
Mumta-LW,2 mo.,BEP,up,Pyrimidine Metabolism,2,0.0228,1,0.0227,0.317,43.859649122807014
Mumta-LW,2 mo.,BEP,up,Nicotinate and Nicotinamide Metabolism,2,0.0228,1,0.0227,0.317,43.859649122807014
Mumta-LW,2 mo.,BEP,down,Pyruvate Metabolism,2,0.026,1,0.0259,0.423,-38.46153846153846
Mumta-LW,2 mo.,BEP,down,Gluconeogenesis,2,0.026,1,0.0259,0.423,-38.46153846153846
MISAME-III,14-21 days,BEP,down,Pantothenate and CoA Biosynthesis,1,0.0276,1,0.0276,0.226,-36.231884057971016
MISAME-III,14-21 days,BEP,down,Threonine and 2-Oxobutanoate Degradation,1,0.0276,1,0.0276,0.226,-36.231884057971016
MISAME-III,14-21 days,BEP,down,Mitochondrial Beta-Oxidation of Medium Chain Saturated Fatty Acids,1,0.0276,1,0.0276,0.226,-36.231884057971016
ELICIT,5 mo.,Nico,down,Tyrosine Metabolism,5,0.0325,1,0.0322,0.557,-30.769230769230766
ELICIT,1 mo.,Nico,down,Fatty acid Metabolism,2,0.0325,1,0.0323,0.316,-30.769230769230766
ELICIT,1 mo.,Nico,down,Citric Acid Cycle,2,0.0325,1,0.0323,0.316,-30.769230769230766
ELICIT,1 mo.,Nico,down,Mitochondrial Beta-Oxidation of Short Chain Saturated Fatty Acids,2,0.0325,1,0.0323,0.316,-30.769230769230766
Mumta-LW,1.5 mo.,BEP,down,Homocysteine Degradation,3,0.0341,1,0.0338,0.879,-29.32551319648094
Mumta-LW,2 mo.,BEP,up,Amino Sugar Metabolism,3,0.0341,1,0.0338,0.331,29.32551319648094
Mumta-LW,2 mo.,BEP,up,Alanine Metabolism,3,0.0341,1,0.0338,0.331,29.32551319648094
Mumta-LW,2 mo.,BEP,up,Glucose-Alanine Cycle,3,0.0341,1,0.0338,0.331,29.32551319648094
Mumta-LW,1.5 mo.,BEP,up,Selenoamino Acid Metabolism,2,0.0358,1,0.0355,0.386,27.932960893854748
Mumta-LW,1.5 mo.,BEP,up,Pyrimidine Metabolism,2,0.0358,1,0.0355,0.386,27.932960893854748
Mumta-LW,1.5 mo.,BEP,up,Nicotinate and Nicotinamide Metabolism,2,0.0358,1,0.0355,0.386,27.932960893854748
Mumta-LW,1.5 mo.,BEP,up,Methylhistidine Metabolism,2,0.0358,1,0.0355,0.386,27.932960893854748
