study,timepoint,contrast,direction,pathway,total,expected,hits,raw_p,fdr_native,enrichment_ratio
ELICIT,1 mo.,Nico+Az.,down,Methionine Metabolism,9,1.1,5,0.00121,0.119,-4.545454545454545
Mumta-LW,1.5 mo.,BEP+ExBf+AZT,down,Fatty Acid Biosynthesis,3,0.396,3,0.00189,0.185,-7.575757575757575
MISAME-III,14-21 days,BEP/IFA,down,Warburg Effect,4,0.151,2,0.0063,0.462,-13.245033112582782
ELICIT,1 mo.,Nico+Az.,down,Glutamate Metabolism,8,0.981,4,0.0075,0.368,-4.077471967380224
ELICIT,1 mo.,Az.,down,"Valine, Leucine and Isoleucine Degradation",5,0.566,3,0.00996,0.976,-5.30035335689046
Mumta-LW,2 mo.,BEP+ExBf,down,Bile Acid Biosynthesis,10,0.566,3,0.0106,1,-5.30035335689046
ELICIT,1 mo.,Nico+Az.,down,"Valine, Leucine and Isoleucine Degradation",5,0.613,3,0.0127,0.416,-4.893964110929853
MISAME-III,3-4 mo.,BEP/BEP,down,Glycine and Serine Metabolism,11,1.14,4,0.0147,1,-3.5087719298245617
MISAME-III,1-2 mo.,BEP/BEP,up,Bile Acid Biosynthesis,10,0.66,3,0.0176,1,4.545454545454545
MISAME-III,3-4 mo.,BEP/BEP,up,Pyrimidine Metabolism,2,0.0189,1,0.0189,1,52.91005291005291
ELICIT,5 mo.,Az.,up,Nucleotide Sugars Metabolism,1,0.0189,1,0.0189,0.616,52.91005291005291
ELICIT,5 mo.,Az.,up,Galactose Metabolism,1,0.0189,1,0.0189,0.616,52.91005291005291
ELICIT,5 mo.,Az.,up,Lactose Degradation,1,0.0189,1,0.0189,0.616,52.91005291005291
Mumta-LW,2 mo.,BEP+ExBf,up,Alpha Linolenic Acid and Linoleic Acid Metabolism,4,0.264,2,0.0212,1,7.575757575757575
Mumta-LW,2 mo.,BEP+ExBf,up,Tryptophan Metabolism,4,0.264,2,0.0212,1,7.575757575757575
MISAME-III,14-21 days,BEP/BEP,down,Homocysteine Degradation,3,0.283,2,0.023,1,-7.06713780918728
ELICIT,5 mo.,Az.,down,Propanoate Metabolism,3,0.283,2,0.023,1,-7.06713780918728
MISAME-III,1-2 mo.,BEP/IFA,up,Beta-Alanine Metabolism,6,0.283,2,0.0249,1,7.06713780918728
MISAME-III,1-2 mo.,BEP/IFA,up,Histidine Metabolism,6,0.283,2,0.0249,1,7.06713780918728
MISAME-III,3-4 mo.,BEP/BEP,down,Betaine Metabolism,3,0.311,2,0.0279,1,-6.430868167202572
ELICIT,1 mo.,Nico,down,Oxidation of Branched Chain Fatty Acids,4,0.302,2,0.0279,1,-6.622516556291391
ELICIT,1 mo.,Nico+Az.,down,Glycine and Serine Metabolism,11,1.35,4,0.0282,0.668,-2.962962962962963
MISAME-III,3-4 mo.,BEP/BEP,up,Propanoate Metabolism,3,0.0283,1,0.0283,1,35.3356890459364
MISAME-III,14-21 days,BEP/IFA,up,Aspartate Metabolism,7,0.33,2,0.0342,1,6.0606060606060606
MISAME-III,14-21 days,BEP/IFA,down,Citric Acid Cycle,1,0.0377,1,0.0377,0.462,-26.525198938992045
MISAME-III,14-21 days,BEP/IFA,down,Pyruvate Metabolism,1,0.0377,1,0.0377,0.462,-26.525198938992045
MISAME-III,14-21 days,BEP/IFA,down,Ketone Body Metabolism,1,0.0377,1,0.0377,0.462,-26.525198938992045
MISAME-III,14-21 days,BEP/IFA,down,Butyrate Metabolism,1,0.0377,1,0.0377,0.462,-26.525198938992045
MISAME-III,14-21 days,BEP/IFA,down,Gluconeogenesis,1,0.0377,1,0.0377,0.462,-26.525198938992045
MISAME-III,14-21 days,BEP/IFA,down,Mitochondrial Electron Transport Chain,1,0.0377,1,0.0377,0.462,-26.525198938992045
MISAME-III,14-21 days,BEP/IFA,down,Phytanic Acid Peroxisomal Oxidation,1,0.0377,1,0.0377,0.462,-26.525198938992045
MISAME-III,3-4 mo.,BEP/IFA,down,Mitochondrial Beta-Oxidation of Medium Chain Saturated Fatty Acids,1,0.0377,1,0.0377,1,-26.525198938992045
MISAME-III,3-4 mo.,BEP/IFA,up,Citric Acid Cycle,1,0.0377,1,0.0377,0.74,26.525198938992045
MISAME-III,3-4 mo.,BEP/IFA,up,Ketone Body Metabolism,1,0.0377,1,0.0377,0.74,26.525198938992045
MISAME-III,3-4 mo.,BEP/IFA,up,Butyrate Metabolism,1,0.0377,1,0.0377,0.74,26.525198938992045
MISAME-III,3-4 mo.,BEP/IFA,up,Mitochondrial Electron Transport Chain,1,0.0377,1,0.0377,0.74,26.525198938992045
MISAME-III,3-4 mo.,BEP/IFA,up,Phytanic Acid Peroxisomal Oxidation,1,0.0377,1,0.0377,0.74,26.525198938992045
ELICIT,5 mo.,Nico+Az.,down,Steroid Biosynthesis,1,0.0377,1,0.0377,1,-26.525198938992045
ELICIT,5 mo.,Nico+Az.,down,Glycerolipid Metabolism,1,0.0377,1,0.0377,1,-26.525198938992045
ELICIT,5 mo.,Nico+Az.,down,Fatty Acid Elongation In Mitochondria,1,0.0377,1,0.0377,1,-26.525198938992045
MISAME-III,3-4 mo.,IFA/BEP,down,Homocysteine Degradation,3,0.368,2,0.0391,1,-5.434782608695652
ELICIT,1 mo.,Nico+Az.,down,Betaine Metabolism,3,0.368,2,0.0391,0.668,-5.434782608695652
MISAME-III,14-21 days,BEP/IFA,up,Steroidogenesis,1,0.0472,1,0.0472,1,21.186440677966104
MISAME-III,1-2 mo.,BEP/BEP,up,Beta-Alanine Metabolism,6,0.396,2,0.0497,1,5.05050505050505
MISAME-III,1-2 mo.,BEP/BEP,up,Histidine Metabolism,6,0.396,2,0.0497,1,5.05050505050505
MISAME-III,3-4 mo.,BEP/BEP,down,Methionine Metabolism,9,0.934,3,0.05,1,-3.2119914346895073
MISAME-III,1-2 mo.,BEP/BEP,down,Spermidine and Spermine Biosynthesis,5,0.991,3,0.0521,1,-3.027245206861756
ELICIT,1 mo.,Az.,up,Catecholamine Biosynthesis,2,0.0566,1,0.0561,1,17.6678445229682
ELICIT,5 mo.,Az.,up,Sphingolipid Metabolism,3,0.0566,1,0.0561,1,17.6678445229682
Mumta-LW,1.5 mo.,BEP+ExBf,down,Methionine Metabolism,9,0.425,2,0.0564,1,-4.705882352941177
MISAME-III,3-4 mo.,BEP/BEP,up,Beta-Alanine Metabolism,6,0.0566,1,0.0566,1,17.6678445229682
MISAME-III,3-4 mo.,BEP/BEP,up,Histidine Metabolism,6,0.0566,1,0.0566,1,17.6678445229682
Mumta-LW,2 mo.,BEP+ExBf+AZT,down,Pyruvate Metabolism,1,0.0566,1,0.0566,1,-17.6678445229682
Mumta-LW,2 mo.,BEP+ExBf+AZT,down,Gluconeogenesis,1,0.0566,1,0.0566,1,-17.6678445229682
ELICIT,1 mo.,Az.,down,Warburg Effect,4,0.453,2,0.0623,1,-4.415011037527593
MISAME-III,3-4 mo.,BEP/BEP,up,Aspartate Metabolism,7,0.066,1,0.066,1,15.15151515151515
MISAME-III,1-2 mo.,BEP/IFA,down,Fatty Acid Biosynthesis,3,0.481,2,0.0663,1,-4.158004158004158
MISAME-III,14-21 days,BEP/BEP,down,Glycine and Serine Metabolism,11,1.04,3,0.0671,1,-2.8846153846153846
