"study","contrast","direction","pathway","feature"
"Elicit (5 mo.)","Az.","down","Glycine and Serine Metabolism","Glycine"
"Elicit (5 mo.)","Az.","down","Glycine and Serine Metabolism","Sarcosine"
"Elicit (5 mo.)","Az.","down","Beta-Alanine Metabolism","beta-Alanine"
"Elicit (5 mo.)","Az.","down","Beta-Alanine Metabolism","Histidine"
"Elicit (5 mo.)","Az.","down","Ammonia Recycling","Glycine"
"Elicit (5 mo.)","Az.","down","Ammonia Recycling","Histidine"
"Elicit (5 mo.)","Az.","down","Glutathione Metabolism","Glycine"
"Elicit (5 mo.)","Az.","down","Propanoate Metabolism","beta-Alanine"
"Elicit (5 mo.)","Az.","down","Propanoate Metabolism","L-Valine"
"Elicit (5 mo.)","Az.","down","Arginine and Proline Metabolism","Glycine"
"Elicit (5 mo.)","Az.","down","Arginine and Proline Metabolism","4-Hydroxyproline"
"Elicit (5 mo.)","Az.","down","Taurine and Hypotaurine Metabolism","Taurine"
"Elicit (5 mo.)","Az.","down","Porphyrin Metabolism","Glycine"
"Elicit (5 mo.)","Az.","down","Valine, Leucine and Isoleucine Degradation","L-Valine"
"Elicit (5 mo.)","Az.","down","Methionine Metabolism","Glycine"
"Elicit (5 mo.)","Az.","down","Methionine Metabolism","Sarcosine"
"Elicit (5 mo.)","Az.","down","Bile Acid Biosynthesis","Glycine"
"Elicit (5 mo.)","Az.","down","Bile Acid Biosynthesis","Taurine"
"Elicit (5 mo.)","Az.","down","Histidine Metabolism","beta-Alanine"
"Elicit (5 mo.)","Az.","down","Histidine Metabolism","Histidine"
"Elicit (5 mo.)","Az.","down","Pyrimidine Metabolism","beta-Alanine"
"Elicit (5 mo.)","Az.","down","Purine Metabolism","Glycine"
"Elicit (5 mo.)","Az.","down","Purine Metabolism","Xanthine"
"Elicit (5 mo.)","Az.","down","Alanine Metabolism","Glycine"
"Elicit (5 mo.)","Az.","down","Aspartate Metabolism","beta-Alanine"
"Elicit (5 mo.)","Az.","down","Glutamate Metabolism","Glycine"
"Elicit (5 mo.)","Az.","down","Carnitine Synthesis","Glycine"
"Elicit (5 mo.)","Az.","down","Methylhistidine Metabolism","Histidine"
