"study","contrast","direction","pathway","feature"
"Misame (14-21 days)","BEP/BEP","down","Glycine and Serine Metabolism","L-Threonine"
"Misame (14-21 days)","BEP/BEP","down","Glycine and Serine Metabolism","L-Cysteine"
"Misame (14-21 days)","BEP/BEP","down","Glycine and Serine Metabolism","Homocysteine"
"Misame (14-21 days)","BEP/BEP","down","Beta-Alanine Metabolism","Anserine"
"Misame (14-21 days)","BEP/BEP","down","Beta-Alanine Metabolism","Methylhistidine"
"Misame (14-21 days)","BEP/BEP","down","Ammonia Recycling","L-Asparagine"
"Misame (14-21 days)","BEP/BEP","down","Catecholamine Biosynthesis","Homocysteine"
"Misame (14-21 days)","BEP/BEP","down","Cysteine Metabolism","L-Cysteine"
"Misame (14-21 days)","BEP/BEP","down","Glutathione Metabolism","L-Cysteine"
"Misame (14-21 days)","BEP/BEP","down","Alpha Linolenic Acid and Linoleic Acid Metabolism","Arachidonic acid"
"Misame (14-21 days)","BEP/BEP","down","Taurine and Hypotaurine Metabolism","L-Cysteine"
"Misame (14-21 days)","BEP/BEP","down","Pantothenate and CoA Biosynthesis","L-Cysteine"
"Misame (14-21 days)","BEP/BEP","down","Methionine Metabolism","L-Cysteine"
"Misame (14-21 days)","BEP/BEP","down","Methionine Metabolism","Homocysteine"
"Misame (14-21 days)","BEP/BEP","down","Histidine Metabolism","Anserine"
"Misame (14-21 days)","BEP/BEP","down","Histidine Metabolism","Methylhistidine"
"Misame (14-21 days)","BEP/BEP","down","Pyruvate Metabolism","Lactic acid"
"Misame (14-21 days)","BEP/BEP","down","Aspartate Metabolism","L-Asparagine"
"Misame (14-21 days)","BEP/BEP","down","Glutamate Metabolism","L-Cysteine"
"Misame (14-21 days)","BEP/BEP","down","Arachidonic Acid Metabolism","Arachidonic acid"
"Misame (14-21 days)","BEP/BEP","down","Betaine Metabolism","Homocysteine"
"Misame (14-21 days)","BEP/BEP","down","Gluconeogenesis","Lactic acid"
"Misame (14-21 days)","BEP/BEP","down","Threonine and 2-Oxobutanoate Degradation","L-Threonine"
"Misame (14-21 days)","BEP/BEP","down","Homocysteine Degradation","L-Cysteine"
"Misame (14-21 days)","BEP/BEP","down","Homocysteine Degradation","Homocysteine"
"Misame (14-21 days)","BEP/BEP","down","Warburg Effect","Lactic acid"
"Misame (14-21 days)","BEP/BEP","down","Methylhistidine Metabolism","Methylhistidine"
