"study","contrast","direction","pathway","total","hits","expected","raw_p","fdr"
"Misame (1-2 mo.)","IFA/BEP","down","Spermidine and Spermine Biosynthesis",5,3,0.203,0.000564,0.0553
"Misame (1-2 mo.)","IFA/BEP","down","Alpha Linolenic Acid and Linoleic Acid Metabolism",5,2,0.203,0.0147,0.722
"Misame (1-2 mo.)","IFA/BEP","down","Mitochondrial Beta-Oxidation of Medium Chain Saturated Fatty Acids",1,1,0.0407,0.0407,0.957
"Misame (1-2 mo.)","IFA/BEP","down","Arginine and Proline Metabolism",10,2,0.407,0.0585,0.957
"Misame (1-2 mo.)","IFA/BEP","down","Methionine Metabolism",11,2,0.447,0.0697,0.957
"Misame (1-2 mo.)","IFA/BEP","down","Pyruvate Metabolism",2,1,0.0813,0.0797,0.957
"Misame (1-2 mo.)","IFA/BEP","down","Gluconeogenesis",2,1,0.0813,0.0797,0.957
"Misame (1-2 mo.)","IFA/BEP","down","Glycine and Serine Metabolism",13,2,0.528,0.0941,0.957
"Misame (1-2 mo.)","IFA/BEP","down","Beta Oxidation of Very Long Chain Fatty Acids",3,1,0.122,0.117,0.957
"Misame (1-2 mo.)","IFA/BEP","down","Homocysteine Degradation",3,1,0.122,0.117,0.957
"Misame (1-2 mo.)","IFA/BEP","down","Fatty Acid Biosynthesis",3,1,0.122,0.117,0.957
"Misame (1-2 mo.)","IFA/BEP","down","Mitochondrial Beta-Oxidation of Long Chain Saturated Fatty Acids",3,1,0.122,0.117,0.957
"Misame (1-2 mo.)","IFA/BEP","down","Catecholamine Biosynthesis",4,1,0.163,0.153,1
"Misame (1-2 mo.)","IFA/BEP","down","Arachidonic Acid Metabolism",4,1,0.163,0.153,1
"Misame (1-2 mo.)","IFA/BEP","down","Betaine Metabolism",4,1,0.163,0.153,1
"Misame (1-2 mo.)","IFA/BEP","down","Warburg Effect",5,1,0.203,0.188,1
"Misame (1-2 mo.)","IFA/BEP","down","Tryptophan Metabolism",6,1,0.244,0.221,1
"Misame (1-2 mo.)","IFA/BEP","down","Sphingolipid Metabolism",7,1,0.285,0.253,1
"Misame (1-2 mo.)","IFA/BEP","down","Urea Cycle",7,1,0.285,0.253,1
