"study","contrast","direction","pathway","total","hits","expected","raw_p","fdr"
"Vital (1.5 mo.)","BEP+ExBf","up","Urea Cycle",7,3,0.182,0.000476,0.0467
"Vital (1.5 mo.)","BEP+ExBf","up","Tryptophan Metabolism",6,2,0.156,0.00897,0.318
"Vital (1.5 mo.)","BEP+ExBf","up","Ammonia Recycling",7,2,0.182,0.0124,0.318
"Vital (1.5 mo.)","BEP+ExBf","up","Aspartate Metabolism",8,2,0.208,0.0162,0.318
"Vital (1.5 mo.)","BEP+ExBf","up","Glutamate Metabolism",8,2,0.208,0.0162,0.318
"Vital (1.5 mo.)","BEP+ExBf","up","Phenylacetate Metabolism",1,1,0.026,0.026,0.425
"Vital (1.5 mo.)","BEP+ExBf","up","Selenoamino Acid Metabolism",2,1,0.052,0.0514,0.504
"Vital (1.5 mo.)","BEP+ExBf","up","Pyrimidine Metabolism",2,1,0.052,0.0514,0.504
"Vital (1.5 mo.)","BEP+ExBf","up","Nicotinate and Nicotinamide Metabolism",2,1,0.052,0.0514,0.504
"Vital (1.5 mo.)","BEP+ExBf","up","Methylhistidine Metabolism",2,1,0.052,0.0514,0.504
"Vital (1.5 mo.)","BEP+ExBf","up","Propanoate Metabolism",3,1,0.078,0.0762,0.533
"Vital (1.5 mo.)","BEP+ExBf","up","Amino Sugar Metabolism",3,1,0.078,0.0762,0.533
"Vital (1.5 mo.)","BEP+ExBf","up","Alanine Metabolism",3,1,0.078,0.0762,0.533
"Vital (1.5 mo.)","BEP+ExBf","up","Glucose-Alanine Cycle",3,1,0.078,0.0762,0.533
"Vital (1.5 mo.)","BEP+ExBf","up","Glutathione Metabolism",4,1,0.104,0.1,0.607
"Vital (1.5 mo.)","BEP+ExBf","up","Lysine Degradation",4,1,0.104,0.1,0.607
"Vital (1.5 mo.)","BEP+ExBf","up","Alpha Linolenic Acid and Linoleic Acid Metabolism",5,1,0.13,0.124,0.607
"Vital (1.5 mo.)","BEP+ExBf","up","Valine, Leucine and Isoleucine Degradation",5,1,0.13,0.124,0.607
"Vital (1.5 mo.)","BEP+ExBf","up","Spermidine and Spermine Biosynthesis",5,1,0.13,0.124,0.607
"Vital (1.5 mo.)","BEP+ExBf","up","Warburg Effect",5,1,0.13,0.124,0.607
"Vital (1.5 mo.)","BEP+ExBf","up","Purine Metabolism",6,1,0.156,0.147,0.685
"Vital (1.5 mo.)","BEP+ExBf","up","Beta-Alanine Metabolism",7,1,0.182,0.169,0.754
"Vital (1.5 mo.)","BEP+ExBf","up","Histidine Metabolism",8,1,0.208,0.191,0.814
"Vital (1.5 mo.)","BEP+ExBf","up","Arginine and Proline Metabolism",10,1,0.26,0.233,0.952
"Vital (1.5 mo.)","BEP+ExBf","up","Methionine Metabolism",11,1,0.286,0.254,0.994
"Vital (1.5 mo.)","BEP+ExBf","up","Glycine and Serine Metabolism",13,1,0.338,0.293,1
