"study","contrast","direction","pathway","feature"
"Vital (2 mo.)","BEP+ExBf","up","Glycine and Serine Metabolism","L-Alanine"
"Vital (2 mo.)","BEP+ExBf","up","Glutathione Metabolism","L-Alanine"
"Vital (2 mo.)","BEP+ExBf","up","Alpha Linolenic Acid and Linoleic Acid Metabolism","Arachidonic acid"
"Vital (2 mo.)","BEP+ExBf","up","Alpha Linolenic Acid and Linoleic Acid Metabolism","Dihomo-gamma-linolenic acid"
"Vital (2 mo.)","BEP+ExBf","up","Selenoamino Acid Metabolism","L-Alanine"
"Vital (2 mo.)","BEP+ExBf","up","Alanine Metabolism","L-Alanine"
"Vital (2 mo.)","BEP+ExBf","up","Urea Cycle","L-Alanine"
"Vital (2 mo.)","BEP+ExBf","up","Tryptophan Metabolism","L-Alanine"
"Vital (2 mo.)","BEP+ExBf","up","Tryptophan Metabolism","Indoleacetic acid"
"Vital (2 mo.)","BEP+ExBf","up","Glutamate Metabolism","L-Alanine"
"Vital (2 mo.)","BEP+ExBf","up","Arachidonic Acid Metabolism","Arachidonic acid"
"Vital (2 mo.)","BEP+ExBf","up","Glucose-Alanine Cycle","L-Alanine"
