"study","contrast","direction","pathway","total","hits","expected","raw_p","fdr"
"Misame (14-21 days)","BEP/BEP","down","Homocysteine Degradation",3,2,0.0439,0.000568,0.0283
"Misame (14-21 days)","BEP/BEP","down","Glycine and Serine Metabolism",13,3,0.19,0.000578,0.0283
"Misame (14-21 days)","BEP/BEP","down","Beta-Alanine Metabolism",7,2,0.102,0.00385,0.125
"Misame (14-21 days)","BEP/BEP","down","Histidine Metabolism",8,2,0.117,0.0051,0.125
"Misame (14-21 days)","BEP/BEP","down","Methionine Metabolism",11,2,0.161,0.00979,0.192
"Misame (14-21 days)","BEP/BEP","down","Pantothenate and CoA Biosynthesis",1,1,0.0146,0.0146,0.205
"Misame (14-21 days)","BEP/BEP","down","Threonine and 2-Oxobutanoate Degradation",1,1,0.0146,0.0146,0.205
"Misame (14-21 days)","BEP/BEP","down","Cysteine Metabolism",2,1,0.0293,0.0291,0.237
"Misame (14-21 days)","BEP/BEP","down","Taurine and Hypotaurine Metabolism",2,1,0.0293,0.0291,0.237
"Misame (14-21 days)","BEP/BEP","down","Pyruvate Metabolism",2,1,0.0293,0.0291,0.237
"Misame (14-21 days)","BEP/BEP","down","Gluconeogenesis",2,1,0.0293,0.0291,0.237
"Misame (14-21 days)","BEP/BEP","down","Methylhistidine Metabolism",2,1,0.0293,0.0291,0.237
"Misame (14-21 days)","BEP/BEP","down","Catecholamine Biosynthesis",4,1,0.0585,0.0574,0.352
"Misame (14-21 days)","BEP/BEP","down","Glutathione Metabolism",4,1,0.0585,0.0574,0.352
"Misame (14-21 days)","BEP/BEP","down","Arachidonic Acid Metabolism",4,1,0.0585,0.0574,0.352
"Misame (14-21 days)","BEP/BEP","down","Betaine Metabolism",4,1,0.0585,0.0574,0.352
"Misame (14-21 days)","BEP/BEP","down","Alpha Linolenic Acid and Linoleic Acid Metabolism",5,1,0.0732,0.0713,0.388
"Misame (14-21 days)","BEP/BEP","down","Warburg Effect",5,1,0.0732,0.0713,0.388
"Misame (14-21 days)","BEP/BEP","down","Ammonia Recycling",7,1,0.102,0.0985,0.508
"Misame (14-21 days)","BEP/BEP","down","Aspartate Metabolism",8,1,0.117,0.112,0.522
"Misame (14-21 days)","BEP/BEP","down","Glutamate Metabolism",8,1,0.117,0.112,0.522
"Misame (14-21 days)","BEP/IFA","down","Warburg Effect",5,2,0.0325,0.000316,0.0309
"Misame (14-21 days)","BEP/IFA","down","Ketone Body Metabolism",1,1,0.0065,0.0065,0.127
"Misame (14-21 days)","BEP/IFA","down","Butyrate Metabolism",1,1,0.0065,0.0065,0.127
"Misame (14-21 days)","BEP/IFA","down","Mitochondrial Electron Transport Chain",1,1,0.0065,0.0065,0.127
"Misame (14-21 days)","BEP/IFA","down","Phytanic Acid Peroxisomal Oxidation",1,1,0.0065,0.0065,0.127
"Misame (14-21 days)","BEP/IFA","down","Citric Acid Cycle",2,1,0.013,0.013,0.159
"Misame (14-21 days)","BEP/IFA","down","Pyruvate Metabolism",2,1,0.013,0.013,0.159
"Misame (14-21 days)","BEP/IFA","down","Gluconeogenesis",2,1,0.013,0.013,0.159
"Misame (14-21 days)","BEP/IFA","down","Oxidation of Branched Chain Fatty Acids",4,1,0.026,0.0258,0.281
"Misame (14-21 days)","BEP/IFA","down","Valine, Leucine and Isoleucine Degradation",5,1,0.0325,0.0322,0.287
"Misame (14-21 days)","BEP/IFA","down","Carnitine Synthesis",5,1,0.0325,0.0322,0.287
"Misame (14-21 days)","BEP/IFA","down","Glutamate Metabolism",8,1,0.052,0.0511,0.418
"Misame (14-21 days)","BEP/IFA","down","Arginine and Proline Metabolism",10,1,0.065,0.0636,0.48
"Misame (14-21 days)","BEP/IFA","down","Bile Acid Biosynthesis",15,1,0.0976,0.0943,0.66
"Misame (14-21 days)","BEP/IFA","up","Aspartate Metabolism",8,2,0.065,0.00145,0.143
"Misame (14-21 days)","BEP/IFA","up","Pyrimidine Metabolism",2,1,0.0163,0.0162,0.297
"Misame (14-21 days)","BEP/IFA","up","Fatty acid Metabolism",2,1,0.0163,0.0162,0.297
"Misame (14-21 days)","BEP/IFA","up","Steroidogenesis",2,1,0.0163,0.0162,0.297
"Misame (14-21 days)","BEP/IFA","up","Mitochondrial Beta-Oxidation of Short Chain Saturated Fatty Acids",2,1,0.0163,0.0162,0.297
"Misame (14-21 days)","BEP/IFA","up","Propanoate Metabolism",3,1,0.0244,0.0242,0.297
"Misame (14-21 days)","BEP/IFA","up","Beta Oxidation of Very Long Chain Fatty Acids",3,1,0.0244,0.0242,0.297
"Misame (14-21 days)","BEP/IFA","up","Mitochondrial Beta-Oxidation of Long Chain Saturated Fatty Acids",3,1,0.0244,0.0242,0.297
"Misame (14-21 days)","BEP/IFA","up","Oxidation of Branched Chain Fatty Acids",4,1,0.0325,0.0322,0.351
"Misame (14-21 days)","BEP/IFA","up","Carnitine Synthesis",5,1,0.0407,0.0401,0.393
"Misame (14-21 days)","BEP/IFA","up","Tryptophan Metabolism",6,1,0.0488,0.048,0.421
