"study","timepoint","contrast","direction","fatty_acid","fatty_acid_name","enrichment_ratio","raw_p","fdr_native"
"Misame","3-4 mo.","BEP","up","18:3(9Z,12Z,15Z)","α-Linolenic Acid",0.0885840748641959,5.38321456253299e-08,2.00861265110369e-06
"Misame","3-4 mo.","BEP","up","18:3(6Z,9Z,12Z)","γ-Linolenic Acid",0.0868447263461156,1.00430632555184e-07,2.00861265110369e-06
"Misame","14-21 days","BEP","up","18:3(6Z,9Z,12Z)","γ-Linolenic Acid",0.0727802774466674,7.14832138996012e-07,2.85932855598405e-05
"Misame","14-21 days","BEP","up","18:3(9Z,12Z,15Z)","α-Linolenic Acid",0.0693921599853911,1.48561858078063e-06,2.97123716156125e-05
"Vital","1.5 mo.","BEP","up","14:0","Myristic Acid",-0.0547476588688762,0.000481569878963384,0.0202259349164621
"Elicit","1 mo.","Nico","up","19:1(9Z)","9Z-Nonadecenoic Acid",-0.00625800357421175,0.000784147693339324,0.0312942679730406
"Elicit","1 mo.","Nico","up","14:0","Myristic Acid",-0.0520965569110092,0.00145554734758329,0.0312942679730406
"Vital","1.5 mo.","BEP","up","14:1(9Z)","Myristoleic Acid",-0.00992300239270921,0.0025638700761705,0.0538412715995805
"Misame","14-21 days","BEP","up","18:4(6Z,9Z,12Z,15Z)","Stearidonic Acid",0.0268915775582442,0.00336535214005806,0.0448713618674408
"Vital","1.5 mo.","BEP","up","20:1(11Z)","Gondoic Acid",-0.0465782509723836,0.00419594501932361,0.0587432302705306
"Misame","1-2 mo.","BEP","up","18:3(9Z,12Z,15Z)","α-Linolenic Acid",0.0792303783173348,0.00448982526668453,0.114362559968146
"Elicit","1 mo.","Nico","up","20:2(11Z,14Z)","Eicosadienoic Acid",-0.0186705742174492,0.00460479200685949,0.066002018764986
"Misame","1-2 mo.","BEP","up","18:3(6Z,9Z,12Z)","γ-Linolenic Acid",0.0744745692384032,0.00601908210358661,0.114362559968146
"Misame","1-2 mo.","BEP","down","16:1(9Z)","Palmitoleic Acid",0.0554125910670682,0.00632467169528558,0.259311539506709
"Elicit","1 mo.","Nico","up","20:2n6","11,14-Eicosadienoic Acid",-0.0694949283749182,0.00921949241246422,0.0907548111598667
"Elicit","1 mo.","Nico","up","19:0","Nonadecylic Acid",-0.0119510955947126,0.0105528850185892,0.0907548111598667
"Elicit","1 mo.","Nico","up","16:1(9Z)","Palmitoleic Acid",-0.0380850670153735,0.0146510062437959,0.104998878080538
"Elicit","1 mo.","Nico","up","17:0","Margaric Acid",-0.0344017018550818,0.0209731851520384,0.123340277649028
"Vital","1.5 mo.","BEP","up","13:0","Tridecylic Acid",-0.0128756167667458,0.0211289403127857,0.22185387328425
"Elicit","1 mo.","Nico","up","15:0","Pentadecylic Acid",-0.0220985783763562,0.0229470283998192,0.123340277649028
"Misame","1-2 mo.","BEP","down","19:0","Nonadecylic Acid",0.0103614142416226,0.0250435270939736,0.333817626547178
"Elicit","1 mo.","Nico","up","12:0","Lauric Acid",-0.0090737284272199,0.025893341194977,0.123712630153779
"Misame","1-2 mo.","BEP","down","18:1(9Z)",NA,-0.0746055078614994,0.0264089165224889,0.333817626547178
"Misame","1-2 mo.","BEP","down","14:0","Myristic Acid",0.053728694596141,0.0365031908043708,0.333817626547178
"Elicit","1 mo.","Nico","up","18:4(6Z,9Z,12Z,15Z)","Stearidonic Acid",-0.00283847102083817,0.0385710678482646,0.165855591747538
