"study","timepoint","contrast","direction","fatty_acid","fatty_acid_name","enrichment_ratio","raw_p","fdr_native"
"Misame","14-21 days","BEP/BEP","up","18:3(6Z,9Z,12Z)","γ-Linolenic Acid",0.0783534688040559,3.06550187479038e-06,0.000122620074991615
"Misame","14-21 days","IFA/BEP","up","18:3(6Z,9Z,12Z)","γ-Linolenic Acid",0.0998845855680723,5.5902656349567e-06,0.000218020359763311
"Misame","14-21 days","BEP/BEP","up","18:3(9Z,12Z,15Z)","α-Linolenic Acid",0.0738336157498688,1.0027101767794e-05,0.000200542035355881
"Misame","14-21 days","IFA/BEP","up","18:3(9Z,12Z,15Z)","α-Linolenic Acid",0.0939437526470071,3.91010988575992e-05,0.000762471427723184
"Misame","3-4 mo.","IFA/BEP","up","18:3(9Z,12Z,15Z)","α-Linolenic Acid",0.113717625961034,0.000111205034084279,0.002296528514612
"Misame","3-4 mo.","IFA/BEP","up","18:3(6Z,9Z,12Z)","γ-Linolenic Acid",0.112432867803012,0.000124136676465514,0.002296528514612
"Vital","1.5 mo.","BEP+ExBf+AZT","up","16:1(9Z)","Palmitoleic Acid",-0.0396387144005057,0.000182583086429827,0.00712074037076326
"Misame","1-2 mo.","IFA/BEP","down","19:0","Nonadecylic Acid",0.0216873382349573,0.000322646180274837,0.0125832010307186
"Vital","1.5 mo.","BEP+ExBf+AZT","up","14:0","Myristic Acid",-0.0534100987780543,0.000457283990321466,0.00891703781126858
"Misame","3-4 mo.","BEP/BEP","up","18:3(9Z,12Z,15Z)","α-Linolenic Acid",0.125914945759981,0.000475223435995511,0.00747424840334351
"Misame","3-4 mo.","BEP/BEP","up","18:3(6Z,9Z,12Z)","γ-Linolenic Acid",0.124624853663819,0.000482209574409258,0.00747424840334351
"Misame","1-2 mo.","BEP/IFA","down","14:0","Myristic Acid",0.147459006158382,0.000788306850336518,0.0331088877141337
"Vital","1.5 mo.","BEP+ExBf","up","14:0","Myristic Acid",-0.0635596896468744,0.00100098966889234,0.0410405764245858
"Vital","1.5 mo.","BEP+ExBf+AZT","up","20:1(11Z)","Gondoic Acid",-0.0312639293562027,0.0012172144474801,0.0158237878172413
"Vital","1.5 mo.","BEP+ExBf+AZT","up","14:1(9Z)","Myristoleic Acid",-0.0204488761593605,0.00191551519141208,0.0186762731162678
"Misame","14-21 days","IFA/BEP","up","18:4(6Z,9Z,12Z,15Z)","Stearidonic Acid",0.00796926757453074,0.00211888511258284,0.027545506463577
"Vital","1.5 mo.","BEP+ExBf+AZT","up","15:0","Pentadecylic Acid",-0.0339020305091734,0.00286562273001547,0.0223518572941207
