study,timepoint,contrast,direction,pathway,total,expected,hits,raw_p,fdr_native,enrichment_ratio
MISAME-III,1-2 mo.,BEP,down,Spermidine and Spermine Biosynthesis,5,0.048,4,2.360E-08,2.320E-06,-83.857
MISAME-III,3-5 mo.,BEP,down,Glycine and Serine Metabolism,13,0.103,4,1.390E-06,1.360E-04,-38.835
ELICIT,1 mo.,Nico,down,Oxidation of Branched Chain Fatty Acids,4,0.035,3,1.980E-06,1.940E-04,-85.960
MISAME-III,14-21 days,BEP,down,Arginine and Proline Metabolism,10,0.119,4,2.640E-06,2.580E-04,-33.613
Mumta-LW,1.5 mo.,BEP,down,Pyruvate Metabolism,2,0.011,2,2.650E-05,2.600E-03,-180.180
Mumta-LW,1.5 mo.,BEP,up,Pyruvate Metabolism,2,0.011,2,2.650E-05,2.600E-03,180.180
Mumta-LW,2 mo.,BEP,down,Pyruvate Metabolism,2,0.013,2,3.540E-05,3.470E-03,-157.480
MISAME-III,3-5 mo.,BEP,down,Methionine Metabolism,11,0.087,3,5.770E-05,2.830E-03,-34.325
MISAME-III,14-21 days,BEP,down,Glutamate Metabolism,8,0.095,3,7.410E-05,3.630E-03,-31.480
MISAME-III,1-2 mo.,BEP,down,Arginine and Proline Metabolism,10,0.095,3,7.660E-05,2.720E-03,-31.480
MISAME-III,1-2 mo.,BEP,down,Pyruvate Metabolism,2,0.019,2,8.330E-05,2.720E-03,-104.712
MISAME-III,14-21 days,BEP,down,Pyruvate Metabolism,2,0.024,2,1.330E-04,4.330E-03,-84.034
ELICIT,1 mo.,Nico,down,Beta Oxidation of Very Long Chain Fatty Acids,3,0.026,2,2.070E-04,1.020E-02,-76.336
MISAME-III,14-21 days,BEP,down,Methionine Metabolism,11,0.131,3,2.140E-04,5.230E-03,-22.901
ELICIT,1 mo.,Nico,down,Oxidation of Branched Chain Fatty Acids,4,0.029,2,2.710E-04,2.650E-02,-69.930
MISAME-III,14-21 days,BEP,down,Glycine and Serine Metabolism,13,0.155,3,3.650E-04,7.150E-03,-19.355
ELICIT,1 mo.,Nico,down,Carnitine Synthesis,5,0.044,2,6.850E-04,2.240E-02,-45.767
MISAME-III,14-21 days,BEP,down,Glutathione Metabolism,4,0.048,2,7.850E-04,1.280E-02,-41.929
MISAME-III,14-21 days,BEP,down,Ketone Body Metabolism,1,0.001,1,7.940E-04,1.950E-02,-1259.446
MISAME-III,14-21 days,BEP,down,Butyrate Metabolism,1,0.001,1,7.940E-04,1.950E-02,-1259.446
MISAME-III,14-21 days,BEP,down,Mitochondrial Electron Transport Chain,1,0.001,1,7.940E-04,1.950E-02,-1259.446
MISAME-III,14-21 days,BEP,down,Phytanic Acid Peroxisomal Oxidation,1,0.001,1,7.940E-04,1.950E-02,-1259.446
MISAME-III,1-2 mo.,BEP,down,Warburg Effect,5,0.048,2,8.200E-04,2.010E-02,-41.929
MISAME-III,14-21 days,BEP,down,Carnitine Synthesis,5,0.060,2,1.300E-03,1.590E-02,-33.557
MISAME-III,14-21 days,BEP,down,Warburg Effect,5,0.060,2,1.300E-03,1.590E-02,-33.557
MISAME-III,14-21 days,BEP,down,Citric Acid Cycle,2,0.002,1,1.590E-03,3.110E-02,-628.931
MISAME-III,3-4 mo.,BEP,up,Ketone Body Metabolism,1,0.002,1,1.590E-03,3.890E-02,628.931
MISAME-III,3-4 mo.,BEP,up,Butyrate Metabolism,1,0.002,1,1.590E-03,3.890E-02,628.931
MISAME-III,3-4 mo.,BEP,up,Mitochondrial Electron Transport Chain,1,0.002,1,1.590E-03,3.890E-02,628.931
MISAME-III,3-4 mo.,BEP,up,Phytanic Acid Peroxisomal Oxidation,1,0.002,1,1.590E-03,3.890E-02,628.931
MISAME-III,3-4 mo.,BEP,up,Ketone Body Metabolism,1,0.002,1,1.590E-03,3.890E-02,628.931
MISAME-III,3-4 mo.,BEP,up,Butyrate Metabolism,1,0.002,1,1.590E-03,3.890E-02,628.931
MISAME-III,3-4 mo.,BEP,up,Mitochondrial Electron Transport Chain,1,0.002,1,1.590E-03,3.890E-02,628.931
MISAME-III,3-4 mo.,BEP,up,Phytanic Acid Peroxisomal Oxidation,1,0.002,1,1.590E-03,3.890E-02,628.931
MISAME-III,1-2 mo.,BEP,down,Urea Cycle,7,0.067,2,1.700E-03,3.160E-02,-29.985
MISAME-III,1-2 mo.,BEP,down,Aspartate Metabolism,8,0.076,2,2.260E-03,3.160E-02,-26.212
MISAME-III,1-2 mo.,BEP,down,Glutamate Metabolism,8,0.076,2,2.260E-03,3.160E-02,-26.212
MISAME-III,14-21 days,BEP,down,Ammonia Recycling,7,0.083,2,2.690E-03,2.930E-02,-23.981
MISAME-III,14-21 days,BEP,down,Oxidation of Branched Chain Fatty Acids,4,0.003,1,3.180E-03,4.320E-02,-314.465
MISAME-III,14-21 days,BEP,down,"Valine, Leucine and Isoleucine Degradation",5,0.004,1,3.970E-03,4.320E-02,-251.889
MISAME-III,14-21 days,BEP,down,Carnitine Synthesis,5,0.004,1,3.970E-03,4.320E-02,-251.889
MISAME-III,14-21 days,BEP,down,Warburg Effect,5,0.004,1,3.970E-03,4.320E-02,-251.889
